"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type","viet_sub_type","int_type","viet_int_type"
"6108.399999968242","viet_consent_1.html","external-html","0","6230","0.0-0.0","","","","","","","","","","","","","","","","","",""
"8837.700000032783","","instructions","1","15070","0.0-1.0","[{""page_index"":0,""viewing_time"":1688.2000000332482},{""page_index"":1,""viewing_time"":3004.899999999907},{""page_index"":2,""viewing_time"":4143.099999986589}]","","","","","","","","","","","","","","","","",""
"22479.799999971874","","html-slider-response","2","37554","0.0-2.0","","5","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","sweet","ngọt","","lớn","","","","","","","",""
"9031.79999999702","","html-slider-response","3","46589","0.0-3.0","","0","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","yellow","màu vàng","clean","sạch","","","",""
"54651.299999968614","","html-slider-response","4","101244","0.0-4.0","","1","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","round","hình tròn","red","màu đỏ","","","",""
"11736.000000033528","","html-slider-response","5","112983","0.0-5.0","","5","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","beautiful","đẹp","bitter","đắng","","","","","","","",""
"18612.900000007357","","html-slider-response","6","131599","0.0-6.0","","5","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","","","","","small","nhỏ","yellow","màu vàng"
"10271.200000017416","","html-slider-response","7","141874","0.0-7.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","","","","","short","thấp","wooden","gỗ"
"41868.10000002151","","html-slider-response","8","183745","0.0-8.0","","5","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","","","","","","","","","tall","cao","clean","sạch"
"7733.000000007451","","html-slider-response","9","191482","0.0-9.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","yellow","màu vàng","dirty","dơ","","","",""
"8895.400000037625","","html-slider-response","10","200382","0.0-10.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","small","nhỏ","ugly","xấu","","","","","","","",""
"45237.29999997886","","html-slider-response","11","245622","0.0-11.0","","6","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","square","sạch","dirty","hình tròn","","","",""
"6229.300000006333","","html-slider-response","12","251855","0.0-12.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","","","","","","","","","big","lớn","red","màu đỏ"
"9002.800000016578","","html-slider-response","13","260861","0.0-13.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","bitter","đắng","big","lớn","","","","","","","",""
"4734.99999998603","","html-slider-response","14","265599","0.0-14.0","","0","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","","","","","plastic","nhựa","round","hình tròn","","","",""
