"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type","viet_sub_type","int_type","viet_int_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2"
"9164.32000003988","viet_consent_1.html","external-html","0","9217","0.0-0.0","","","","","","","","","","","","","","","","","",""
"7315.9299999824725","","instructions","1","16536","0.0-1.0","[{""page_index"":0,""viewing_time"":2486.8449999485165},{""page_index"":1,""viewing_time"":2686.0100000048988},{""page_index"":2,""viewing_time"":2141.9150000438094}]","","","","","","","","","","","","","","","","",""
"4926.135000016075","","html-slider-response","2","21466","0.0-2.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","big","lớn","clean","sạch","","","","","","","",""
"12167.409999994561","","html-slider-response","3","33636","0.0-3.0","","0","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","","","","","round","hình tròn","dirty","dơ","","","",""
"5552.215000032447","","html-slider-response","4","39190","0.0-4.0","","6","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","clean","sạch","plastic","nhựa","","","",""
"6061.189999978524","","html-slider-response","5","45252","0.0-5.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","big","lớn","yellow","màu vàng","","","","","","","",""
"7733.445000019856","","html-slider-response","6","52987","0.0-6.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","big","lớn","yellow","màu vàng","","","","","","","",""
"11733.520000008866","","html-slider-response","7","64722","0.0-7.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","","","","","bitter","đắng","small","nhỏ"
"15270.019999996293","","html-slider-response","8","79994","0.0-8.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","","","","","tall","cao","big","lớn"
"6264.740000013262","","html-slider-response","9","86260","0.0-9.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","beautiful","đẹp","red","màu đỏ","","","","","","","",""
"10677.859999996144","","html-slider-response","10","96940","0.0-10.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","short","thấp","red","màu đỏ","","","","","","","",""
"11319.35499998508","","html-slider-response","11","108261","0.0-11.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","dirty","dơ","round","hình tròn","","","",""
"9349.849999998696","","html-slider-response","12","117612","0.0-12.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","big","lớn","square","hình vuông","","","","","","","",""
"8123.199999972712","","html-slider-response","13","125738","0.0-13.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","","","","","tall","cao","ugly","xấu"
"5278.539999970235","","html-slider-response","14","131018","0.0-14.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","","","","","beautiful","đẹp","small","nhỏ"
"5616.280000016559","","html-slider-response","15","136636","0.0-15.0","","0","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","","","","","","","","sweet","ngọt","ugly","xấu"
"5779.879999987315","","html-slider-response","16","142418","0.0-16.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","","","","","bitter","đắng","big","lớn"
"16982.105000002775","","html-slider-response","17","159401","0.0-17.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","beautiful","đẹp","dirty","dơ","","","","","","","",""
