"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type","viet_sub_type","int_type","viet_int_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2"
"18160","viet_consent_1.html","external-html","0","18208","0.0-0.0","","","","","","","","","","","","","","","","","",""
"14729","","instructions","1","32942","0.0-1.0","[{""page_index"":0,""viewing_time"":4584},{""page_index"":1,""viewing_time"":8069.000000000004},{""page_index"":2,""viewing_time"":2072.9999999999964}]","","","","","","","","","","","","","","","","",""
"62212","","html-slider-response","2","95164","0.0-2.0","","0","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","ugly","xấu","dirty","dơ","","","","","","","",""
"15812.000000000015","","html-slider-response","3","110982","0.0-3.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","ugly","xấu","big","lớn","","","",""
"30933.999999999985","","html-slider-response","4","141920","0.0-4.0","","0","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","","","","","square","hình vuông","red","màu đỏ"
"10615","","html-slider-response","5","152539","0.0-5.0","","6","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","","","","","red","màu đỏ","clean","sạch"
"13583","","html-slider-response","6","166126","0.0-6.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","tall","cao","beautiful","đẹp","","","",""
"34336","","html-slider-response","7","200466","0.0-7.0","","0","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","","","","","red","màu đỏ","clean","sạch"
"23707","","html-slider-response","8","224179","0.0-8.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","short","thấp","round","hình tròn","","","","","","","",""
"28793","","html-slider-response","9","252976","0.0-9.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","small","nhỏ","square","sạch","","","","","","","",""
"25509.99999999997","","html-slider-response","10","278489","0.0-10.0","","0","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","","","","","square","hình vuông","red","màu đỏ"
"11845","","html-slider-response","11","290338","0.0-11.0","","6","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","","","","","","","","","square","hình vuông","plastic","nhựa"
"20289.00000000006","","html-slider-response","12","310631","0.0-12.0","","0","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","big","lớn","tall","cao","","","",""
"15910","","html-slider-response","13","326545","0.0-13.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","bitter","đắng","big","lớn","","","",""
"68369.00000000006","","html-slider-response","14","394917","0.0-14.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","bitter","đắng","yellow","màu vàng","","","","","","","",""
"19954","","html-slider-response","15","414875","0.0-15.0","","6","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","","","","","","","","","clean","sạch","yellow","màu vàng"
