"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","sub_type","viet_sub_type","int_type","viet_int_type"
"20583","viet_consent_1.html","external-html","0","20636","0.0-0.0","","","","","","","","","","","","","","","","","",""
"12375","","instructions","1","33014","0.0-1.0","[{""page_index"":0,""viewing_time"":1772},{""page_index"":1,""viewing_time"":7983},{""page_index"":2,""viewing_time"":2618}]","","","","","","","","","","","","","","","","",""
"39263","","html-slider-response","2","72281","0.0-2.0","","6","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","yellow","màu vàng","square","sạch","","","","","","","",""
"15718","","html-slider-response","3","88000","0.0-3.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","tall","cao","beautiful","đẹp","","","",""
"32370","","html-slider-response","4","120371","0.0-4.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","beautiful","đẹp","big","lớn","","","",""
"9983.000000000015","","html-slider-response","5","130356","0.0-5.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","small","nhỏ","ugly","xấu","","","",""
"5742.000000000029","","html-slider-response","6","136101","0.0-6.0","","0","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","plastic","nhựa","round","hình tròn","","","","","","","",""
"15805","","html-slider-response","7","151909","0.0-7.0","","0","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","","","","","beautiful","đẹp","square","hình vuông"
"37572","","html-slider-response","8","189481","0.0-8.0","","0","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","round","hình tròn","yellow","màu vàng","","","","","","","",""
"14087","","html-slider-response","9","203570","0.0-9.0","","0","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","dirty","dơ","round","hình tròn","","","","","","","",""
"7085.000000000029","","html-slider-response","10","210657","0.0-10.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","","","","","","","","","big","lớn","yellow","màu vàng"
"15963","","html-slider-response","11","226622","0.0-11.0","","6","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","square","hình vuông","red","màu đỏ","","","","","","","",""
"10100","","html-slider-response","12","236724","0.0-12.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","","","","","beautiful","đẹp","yellow","màu vàng"
"7650.999999999971","","html-slider-response","13","244378","0.0-13.0","","6","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","red","màu đỏ","wooden","gỗ","","","","","","","",""
