"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type","viet_sub_type","int_type","viet_int_type"
"141361.09999998007","viet_consent_1.html","external-html","0","141463","0.0-0.0","","","","","","","","","","","","","","","","","",""
"27008.000000030734","","instructions","1","168480","0.0-1.0","[{""page_index"":0,""viewing_time"":6149.7000000672415},{""page_index"":1,""viewing_time"":17651.499999919906},{""page_index"":2,""viewing_time"":3198.3999999938533}]","","","","","","","","","","","","","","","","",""
"43472.09999989718","","html-slider-response","2","211961","0.0-2.0","","1","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","big","lớn","bitter","đắng","","","","","","","",""
"24571.799999917857","","html-slider-response","3","236546","0.0-3.0","","5","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","short","thấp","small","nhỏ","","","","","","","",""
"24194.000000017695","","html-slider-response","4","260746","0.0-4.0","","5","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","clean","sạch","yellow","màu vàng","","","",""
"24773.099999991246","","html-slider-response","5","285532","0.0-5.0","","5","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","dirty","dơ","yellow","màu vàng","","","",""
"13067.400000058115","","html-slider-response","6","298605","0.0-6.0","","5","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","clean","sạch","round","hình tròn","","","",""
"11951.699999975972","","html-slider-response","7","310563","0.0-7.0","","5","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","","","","","","","","","tall","cao","dirty","dơ"
"10263.599999947473","","html-slider-response","8","320833","0.0-8.0","","5","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","short","thấp","beautiful","đẹp","","","","","","","",""
"35748.10000008438","","html-slider-response","9","356588","0.0-9.0","","5","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","","","","","bitter","đắng","dirty","dơ"
"20110.800000024028","","html-slider-response","10","376706","0.0-10.0","","1","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","yellow","màu vàng","square","hình vuông","","","",""
"12244.699999922886","","html-slider-response","11","388957","0.0-11.0","","5","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","","","","","","","","","big","lớn","plastic","nhựa"
"9998.799999943003","","html-slider-response","12","398962","0.0-12.0","","5","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","ugly","xấu","tall","cao","","","","","","","",""
"16353.800000040792","","html-slider-response","13","415321","0.0-13.0","","1","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","","","","","bitter","đắng","square","hình vuông"
"11561.899999971502","","html-slider-response","14","426887","0.0-14.0","","1","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","","","","","","","","","tall","cao","plastic","nhựa"
"8705.799999996088","","html-slider-response","15","435597","0.0-15.0","","5","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","","","","","ugly","xấu","red","màu đỏ"
"19208.29999994021","","html-slider-response","16","454810","0.0-16.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","","","","","ugly","xấu","yellow","màu vàng"
"8877.600000007078","","html-slider-response","17","463693","0.0-17.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","tall","cao","big","lớn","","","","","","","",""
"12493.900000001304","","html-slider-response","18","476190","0.0-18.0","","6","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","","","","","square","hình vuông","red","màu đỏ","","","",""
"30371.799999964423","","html-slider-response","19","506568","0.0-19.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","","","","","","","","","beautiful","đẹp","clean","sạch"
"18604.700000025332","","html-slider-response","20","525179","0.0-20.0","","1","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","yellow","màu vàng","clean","sạch","","","",""
"11634.599999990314","","html-slider-response","21","536823","0.0-21.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","small","nhỏ","bitter","đắng","","","","","","","",""
"18178.000000072643","","html-slider-response","22","555009","0.0-22.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","tall","cao","small","nhỏ","","","","","","","",""
"12457.099999999627","","html-slider-response","23","567473","0.0-23.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","","","","","beautiful","đẹp","round","hình tròn"
"17066.69999996666","","html-slider-response","24","584545","0.0-24.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","wooden","gỗ","red","màu đỏ","","","",""
"14360.100000048988","","html-slider-response","25","598909","0.0-25.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","","","","","","","","","ugly","xấu","wooden","gỗ"
"12519.900000072084","","html-slider-response","26","611434","0.0-26.0","","6","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","clean","sạch","red","màu đỏ","","","",""
"16366.900000022724","","html-slider-response","27","627806","0.0-27.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","square","hình vuông","dirty","dơ","","","",""
