"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","sub_type","viet_sub_type","int_type","viet_int_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2"
"7500","viet_consent_1.html","external-html","0","7526","0.0-0.0","","","","","","","","","","","","","","","","","",""
"35136.00000000001","","instructions","1","42670","0.0-1.0","[{""page_index"":0,""viewing_time"":4031},{""page_index"":1,""viewing_time"":25785.000000000007},{""page_index"":2,""viewing_time"":5315.999999999993}]","","","","","","","","","","","","","","","","",""
"39826","","html-slider-response","2","82502","0.0-2.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","ugly","xấu","small","nhỏ","","","","","","","",""
"11792","","html-slider-response","3","94298","0.0-3.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","ugly","xấu","red","màu đỏ","","","",""
"24003","","html-slider-response","4","118304","0.0-4.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","bitter","đắng","dirty","dơ","","","",""
"18979","","html-slider-response","5","137287","0.0-5.0","","6","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","","","","","clean","hình vuông","square","sạch"
"23047","","html-slider-response","6","160337","0.0-6.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","short","thấp","big","lớn","","","","","","","",""
"55000.00000000003","","html-slider-response","7","215339","0.0-7.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","tall","cao","small","nhỏ","","","","","","","",""
"10147","","html-slider-response","8","225490","0.0-8.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","ugly","xấu","small","nhỏ","","","","","","","",""
"10235","","html-slider-response","9","235730","0.0-9.0","","6","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","","","","","","","","","red","màu đỏ","dirty","dơ"
"8293","","html-slider-response","10","244027","0.0-10.0","","0","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","","","","","clean","sạch","square","hình vuông"
"11530","","html-slider-response","11","255561","0.0-11.0","","5","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","","","","","beautiful","đẹp","red","màu đỏ","","","",""
"10344.99999999997","","html-slider-response","12","265910","0.0-12.0","","4","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","bitter","đắng","big","lớn","","","","","","","",""
"16746","","html-slider-response","13","282659","0.0-13.0","","5","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","beautiful","đẹp","clean","sạch","","","",""
"10548","","html-slider-response","14","293211","0.0-14.0","","1","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","big","lớn","short","thấp","","","","","","","",""
"16349.999999999942","","html-slider-response","15","309566","0.0-15.0","","1","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","","nhỏ","square","hình vuông","","","",""
"8343","","html-slider-response","16","317913","0.0-16.0","","1","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","sweet","ngọt","beautiful","đẹp","","","","","","","",""
"22396","","html-slider-response","17","340314","0.0-17.0","","1","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","big","lớn","sweet","ngọt","","","","","","","",""
"8997","","html-slider-response","18","349314","0.0-18.0","","1","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","","","","","plastic","nhựa","clean","hình vuông"
"10700.999999999942","","html-slider-response","19","360018","0.0-19.0","","1","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","bitter","đắng","square","hình vuông","","","",""
"11561","","html-slider-response","20","371583","0.0-20.0","","5","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","","","","","","","","","clean","sạch","yellow","màu vàng"
"7149","","html-slider-response","21","378736","0.0-21.0","","4","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","","","","","yellow","màu vàng","dirty","dơ"
"14494","","html-slider-response","22","393234","0.0-22.0","","1","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","short","thấp","big","lớn","","","","","","","",""
"17365","","html-slider-response","23","410603","0.0-23.0","","5","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","short","thấp","square","hình vuông","","","",""
"54475","","html-slider-response","24","478244","0.0-24.0","","4","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","beautiful","đẹp","dirty","dơ","","","",""
"7940.999999999942","","html-slider-response","25","486197","0.0-25.0","","1","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","","","","","wooden","gỗ","dirty","hình tròn"
"8305","","html-slider-response","26","494507","0.0-26.0","","5","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","","","","","yellow","màu vàng","square","hình vuông"
"30945","","html-slider-response","27","525455","0.0-27.0","","4","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","","","","","dirty","dơ","red","màu đỏ"
"16853","","html-slider-response","28","542311","0.0-28.0","","5","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","beautiful","đẹp","red","màu đỏ","","","",""
"7550","","html-slider-response","29","549863","0.0-29.0","","1","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","","","","","wooden","gỗ","clean","sạch"
"6595","","html-slider-response","30","556463","0.0-30.0","","1","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","big","lớn","clean","sạch","","","",""
"14281","","html-slider-response","31","570748","0.0-31.0","","5","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","beautiful","đẹp","big","lớn","","","","","","","",""
