"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type","viet_sub_type","int_type","viet_int_type"
"260594.52500002226","viet_consent_1.html","external-html","0","260678","0.0-0.0","","","","","","","","","","","","","","","","","",""
"48297.80000000028","","instructions","1","308978","0.0-1.0","[{""page_index"":0,""viewing_time"":6832.059999986086},{""page_index"":1,""viewing_time"":38511.82500002324},{""page_index"":2,""viewing_time"":2952.759999985574}]","","","","","","","","","","","","","","","","",""
"87570.00000000698","","html-slider-response","2","396551","0.0-2.0","","4","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","sweet","ngọt","small","nhỏ","","","","","","","",""
"351230.6450000033","","html-slider-response","3","747785","0.0-3.0","","6","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","yellow","màu vàng","square","hình vuông","","","",""
"141366.95500000496","","html-slider-response","4","889155","0.0-4.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","","","","","ugly","xấu","dirty","dơ"
"25645.645000011427","","html-slider-response","5","914803","0.0-5.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","","","","","short","thấp","dirty","dơ"
"66823.10999999754","","html-slider-response","6","981630","0.0-6.0","","6","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","square","sạch","red","màu đỏ","","","",""
"207591.4449999982","","html-slider-response","7","1189224","0.0-7.0","","6","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","yellow","màu vàng","wooden","gỗ","","","",""
"60270.905000012135","","html-slider-response","8","1249498","0.0-8.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","","","","","","nhỏ","yellow","màu vàng"
"65652.0400000154","","html-slider-response","9","1315154","0.0-9.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","beautiful","đẹp","","lớn","","","","","","","",""
"60950.89000000735","","html-slider-response","10","1376108","0.0-10.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","","","","","","","","","small","nhỏ","dirty","dơ"
"57334.11500000511","","html-slider-response","11","1433445","0.0-11.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","beautiful","đẹp","big","lớn","","","","","","","",""
"62848.47500000615","","html-slider-response","12","1496296","0.0-12.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","","","","","","","","","bitter","đắng","square","hình vuông"
"63118.88000002364","","html-slider-response","13","1559416","0.0-13.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","sweet","ngọt","small","nhỏ","","","","","","","",""
"71269.10499998485","","html-slider-response","14","1630689","0.0-14.0","","0","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","","","","","tall","cao","wooden","gỗ"
"61374.58999999217","","html-slider-response","15","1692064","0.0-15.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","round","hình tròn","clean","sạch","","","",""
"162573.38999997592","","html-slider-response","16","1854641","0.0-16.0","","0","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","","","","","ugly","xấu","wooden","gỗ"
"48655.105000012554","","html-slider-response","17","1903298","0.0-17.0","","6","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","","","","","red","màu đỏ","plastic","nhựa","","","",""
"31867.189999989932","","html-slider-response","18","1935170","0.0-18.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","dirty","dơ","yellow","màu vàng","","","",""
"47640.28500000131","","html-slider-response","19","1982812","0.0-19.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","big","lớn","ugly","xấu","","","","","","","",""
"26658.484999992652","","html-slider-response","20","2009473","0.0-20.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","","","","","","","","","big","lớn","round","hình tròn"
"22870.21999998251","","html-slider-response","21","2032346","0.0-21.0","","0","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","round","hình tròn","dirty","dơ","","","",""
