"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","sub_type","viet_sub_type","int_type","viet_int_type"
"9868.000000000002","viet_consent_1.html","external-html","0","10206","0.0-0.0","","","","","","","","","","","","","","","","","",""
"10162","","instructions","1","20377","0.0-1.0","[{""page_index"":0,""viewing_time"":2023},{""page_index"":1,""viewing_time"":6300},{""page_index"":2,""viewing_time"":1835}]","","","","","","","","","","","","","","","","",""
"22325","","html-slider-response","2","42718","0.0-2.0","","6","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","round","hình tròn","clean","sạch","","","","","","","",""
"7084.000000000007","","html-slider-response","3","49814","0.0-3.0","","0","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","dirty","dơ","red","màu đỏ","","","","","","","",""
"8671","","html-slider-response","4","58494","0.0-4.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","beautiful","đẹp","small","nhỏ","","","",""
"12377","","html-slider-response","5","70877","0.0-5.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","sweet","ngọt","big","lớn","","","",""
"15686","","html-slider-response","6","86568","0.0-6.0","","0","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","","","","","ugly","xấu","dirty","dơ"
"4717","","html-slider-response","7","91294","0.0-7.0","","0","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","plastic","nhựa","clean","hình vuông","","","","","","","",""
"7903","","html-slider-response","8","99199","0.0-8.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","plastic","nhựa","clean","sạch","","","","","","","",""
"5080","","html-slider-response","9","104287","0.0-9.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","bitter","đắng","ugly","xấu","","","",""
"62967","","html-slider-response","10","285931","0.0-10.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","","","","","","","","","small","nhỏ","red","màu đỏ"
"11146.00000000003","","html-slider-response","11","297101","0.0-11.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","","","","","big","lớn","wooden","gỗ"
"49613","","html-slider-response","12","383882","0.0-12.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","bitter","đắng","ugly","xấu","","","",""
"7013","","html-slider-response","13","390916","0.0-13.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","small","nhỏ","sweet","ngọt","","","",""
"4942","","html-slider-response","14","395867","0.0-14.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","","","","","","","","","big","lớn","dirty","dơ"
"8458","","html-slider-response","15","404331","0.0-15.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","","","","","","","","","small","nhỏ","red","màu đỏ"
"4161.000000000029","","html-slider-response","16","408499","0.0-16.0","","0","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","plastic","nhựa","clean","hình vuông","","","","","","","",""
"12580","","html-slider-response","17","421084","0.0-17.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","beautiful","đẹp","bitter","đắng","","","",""
"20046","","html-slider-response","18","441137","0.0-18.0","","0","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","red","màu đỏ","square","hình vuông","","","","","","","",""
"36716","","html-slider-response","19","477858","0.0-19.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","round","hình tròn","yellow","màu vàng","","","","","","","",""
"12129","","html-slider-response","20","489993","0.0-20.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","short","thấp","beautiful","đẹp","","","",""
"10343","","html-slider-response","21","500344","0.0-21.0","","0","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","","","","","beautiful","đẹp","red","màu đỏ"
"11980","","html-slider-response","22","512329","0.0-22.0","","0","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","","","","","","lớn","round","hình tròn"
"11964","","html-slider-response","23","524298","0.0-23.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","clean","sạch","yellow","màu vàng","","","","","","","",""
"6662","","html-slider-response","24","530964","0.0-24.0","","6","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","clean","sạch","plastic","nhựa","","","","","","","",""
"19848","","html-slider-response","25","550818","0.0-25.0","","1","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","","","","","big","lớn","square","hình vuông"
"8275","","html-slider-response","26","559099","0.0-26.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","","","","","","","","","bitter","đắng","dirty","dơ"
"6099","","html-slider-response","27","565205","0.0-27.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","small","nhỏ","tall","cao","","","",""
"7046","","html-slider-response","28","572258","0.0-28.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","tall","cao","big","lớn","","","",""
"9380","","html-slider-response","29","581643","0.0-29.0","","0","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","wooden","gỗ","yellow","màu vàng","","","","","","","",""
"10622","","html-slider-response","30","592271","0.0-30.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","beautiful","đẹp","short","thấp","","","",""
"16927","","html-slider-response","31","609207","0.0-31.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","","","","","short","thấp","round","hình tròn"
