"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","sub_type","viet_sub_type","int_type","viet_int_type"
"27250.205000163987","viet_consent_1.html","external-html","0","27779","0.0-0.0","","","","","","","","","","","","","","","","","",""
"18440.349999815226","","instructions","1","46221","0.0-1.0","[{""page_index"":0,""viewing_time"":3639.7149998228997},{""page_index"":1,""viewing_time"":12007.755000144243},{""page_index"":2,""viewing_time"":2792.1100000385195}]","","","","","","","","","","","","","","","","",""
"11565.880000125617","","html-slider-response","2","57789","0.0-2.0","","6","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","square","hình vuông","wooden","gỗ","","","","","","","",""
"9221.709999954328","","html-slider-response","3","67012","0.0-3.0","","0","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","round","hình tròn","dirty","dơ","","","","","","","",""
"9318.64000018686","","html-slider-response","4","76332","0.0-4.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","small","nhỏ","beautiful","đẹp","","","",""
"7238.635000074282","","html-slider-response","5","83572","0.0-5.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","","","","","","","","","beautiful","đẹp","red","màu đỏ"
"8446.775000076741","","html-slider-response","6","92020","0.0-6.0","","6","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","clean","sạch","yellow","màu vàng","","","","","","","",""
"6598.585000028834","","html-slider-response","7","98620","0.0-7.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","small","nhỏ","bitter","đắng","","","",""
"9102.990000043064","","html-slider-response","8","107724","0.0-8.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","","","","","","","","","ugly","xấu","dirty","hình tròn"
"27206.550000002608","","html-slider-response","9","134932","0.0-9.0","","2","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","small","nhỏ","tall","cao","","","",""
