"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type","viet_sub_type","int_type","viet_int_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2"
"5818","viet_consent_1.html","external-html","0","5890","0.0-0.0","","","","","","","","","","","","","","","","","",""
"18775","","instructions","1","24672","0.0-1.0","[{""page_index"":0,""viewing_time"":5311},{""page_index"":1,""viewing_time"":7917},{""page_index"":2,""viewing_time"":5544}]","","","","","","","","","","","","","","","","",""
"54073","","html-slider-response","2","78752","0.0-2.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","small","nhỏ","square","hình vuông","","","","","","","",""
"25437","","html-slider-response","3","104195","0.0-3.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","ugly","xấu","small","nhỏ","","","",""
"22997","","html-slider-response","4","127196","0.0-4.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","bitter","đắng","red","màu đỏ","","","","","","","",""
"20369","","html-slider-response","5","147569","0.0-5.0","","1","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","short","thấp","round","dơ","","","","","","","",""
"32579","","html-slider-response","6","180154","0.0-6.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","","","","","yellow","màu vàng","clean","sạch"
"30455","","html-slider-response","7","210615","0.0-7.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","beautiful","đẹp","dirty","dơ","","","","","","","",""
"15184","","html-slider-response","8","225803","0.0-8.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","short","thấp","round","hình tròn","","","","","","","",""
"18578","","html-slider-response","9","244386","0.0-9.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","","","","","clean","sạch","red","màu đỏ"
"17653","","html-slider-response","10","262042","0.0-10.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","ugly","xấu","square","hình vuông","","","","","","","",""
"22245","","html-slider-response","11","284293","0.0-11.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","","","","","wooden","gỗ","clean","sạch"
"23923","","html-slider-response","12","308220","0.0-12.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","small","nhỏ","square","hình vuông","","","","","","","",""
"18318","","html-slider-response","13","326540","0.0-13.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","ugly","xấu","big","lớn","","","",""
"11612","","html-slider-response","14","338156","0.0-14.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","small","nhỏ","short","thấp","","","",""
"29131","","html-slider-response","15","367291","0.0-15.0","","6","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","","","","","square","hình vuông","yellow","màu vàng"
"19866","","html-slider-response","16","387161","0.0-16.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","big","lớn","beautiful","đẹp","","","",""
"24966","","html-slider-response","17","412131","0.0-17.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","bitter","đắng","big","lớn","","","",""
"15508","","html-slider-response","18","427649","0.0-18.0","","4","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","","","","","dirty","dơ","square","hình vuông"
"11446","","html-slider-response","19","439100","0.0-19.0","","6","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","","","","","round","hình tròn","yellow","màu vàng"
"11392","","html-slider-response","20","450496","0.0-20.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","ugly","xấu","small","nhỏ","","","",""
"11984","","html-slider-response","21","462485","0.0-21.0","","6","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","","","","","round","hình tròn","red","màu đỏ"
"17714","","html-slider-response","22","480203","0.0-22.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","small","nhỏ","yellow","màu vàng","","","","","","","",""
"18032.99999999994","","html-slider-response","23","498241","0.0-23.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","beautiful","đẹp","big","lớn","","","",""
"9110","","html-slider-response","24","507354","0.0-24.0","","6","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","","","","","round","hình tròn","yellow","màu vàng"
"4262.000000000058","","html-slider-response","25","511621","0.0-25.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","beautiful","đẹp","tall","cao","","","",""
"9475.000000000058","","html-slider-response","26","521103","0.0-26.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","small","nhỏ","yellow","màu vàng","","","","","","","",""
"14001","","html-slider-response","27","535110","0.0-27.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","big","lớn","square","hình vuông","","","","","","","",""
"14904","","html-slider-response","28","550018","0.0-28.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","","","","","clean","sạch","round","hình tròn"
"8503","","html-slider-response","29","558523","0.0-29.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","beautiful","đẹp","sweet","ngọt","","","",""
"13481","","html-slider-response","30","572008","0.0-30.0","","0","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","","","","","plastic","nhựa","dirty","hình tròn"
"15707","","html-slider-response","31","587724","0.0-31.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","sweet","ngọt","beautiful","đẹp","","","",""
