"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type","viet_sub_type","int_type","viet_int_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2"
"43476","viet_consent_1.html","external-html","0","43490","0.0-0.0","","","","","","","","","","","","","","","","","",""
"14250","","instructions","1","57747","0.0-1.0","[{""page_index"":0,""viewing_time"":7665},{""page_index"":1,""viewing_time"":3660},{""page_index"":2,""viewing_time"":2922}]","","","","","","","","","","","","","","","","",""
"32472","","html-slider-response","2","90233","0.0-2.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","small","nhỏ","red","màu đỏ","","","","","","","",""
"20492","","html-slider-response","3","110730","0.0-3.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","tall","cao","beautiful","đẹp","","","",""
"11578","","html-slider-response","4","122313","0.0-4.0","","6","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","","","","","yellow","màu vàng","dirty","dơ"
"25112","","html-slider-response","5","147431","0.0-5.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","sweet","ngọt","clean","sạch","","","","","","","",""
"14627","","html-slider-response","6","162068","0.0-6.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","","","","","yellow","màu vàng","dirty","dơ"
"16908","","html-slider-response","7","178984","0.0-7.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","bitter","đắng","big","lớn","","","",""
"98601","","html-slider-response","8","277591","0.0-8.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","small","nhỏ","beautiful","đẹp","","","",""
"29443","","html-slider-response","9","307039","0.0-9.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","small","nhỏ","square","hình vuông","","","","","","","",""
"64065","","html-slider-response","10","371110","0.0-10.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","","","","ugly","xấu","bitter","đắng","","","",""
"12339","","html-slider-response","11","383452","0.0-11.0","","1","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","bitter","đắng","dirty","dơ","","","","","","","",""
"12671","","html-slider-response","12","396128","0.0-12.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","beautiful","đẹp","red","màu đỏ","","","","","","","",""
"21559","","html-slider-response","13","417690","0.0-13.0","","1","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","beautiful","đẹp","bitter","đắng","","","",""
"14550.999999999942","","html-slider-response","14","432244","0.0-14.0","","1","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","short","thấp","big","lớn","","","",""
"14866","","html-slider-response","15","447115","0.0-15.0","","1","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","","","","","clean","sạch","square","hình vuông"
"15360.999999999942","","html-slider-response","16","462483","0.0-16.0","","5","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","","","","","square","sạch","yellow","màu vàng"
"14090.999999999942","","html-slider-response","17","476581","0.0-17.0","","5","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","tall","cao","big","lớn","","","",""
"11002","","html-slider-response","18","487588","0.0-18.0","","5","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","small","nhỏ","clean","sạch","","","","","","","",""
"9790","","html-slider-response","19","497384","0.0-19.0","","5","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","","","","","","","","","dirty","dơ","yellow","màu vàng"
"8975.000000000058","","html-slider-response","20","506365","0.0-20.0","","6","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","","","","","","","","","yellow","màu vàng","plastic","nhựa"
"9349.000000000058","","html-slider-response","21","515718","0.0-21.0","","1","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","","","","","wooden","gỗ","dirty","dơ"
"9350.000000000058","","html-slider-response","22","525078","0.0-22.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","ugly","xấu","red","màu đỏ","","","","","","","",""
"9765","","html-slider-response","23","534845","0.0-23.0","","1","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","beautiful","đẹp","small","nhỏ","","","",""
