"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type","viet_sub_type","int_type","viet_int_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2"
"41040.92500009574","viet_consent_1.html","external-html","0","41266","0.0-0.0","","","","","","","","","","","","","","","","","",""
"111106.21999995783","","instructions","1","152391","0.0-1.0","[{""page_index"":0,""viewing_time"":13112.144999904558},{""page_index"":1,""viewing_time"":87831.62999991328},{""page_index"":2,""viewing_time"":10160.76000011526}]","","","","","","","","","","","","","","","","",""
"24634.56999999471","","html-slider-response","2","177031","0.0-2.0","","0","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","clean","sạch","square","hình vuông","","","","","","","",""
"43226.86000005342","","html-slider-response","3","220262","0.0-3.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","sweet","ngọt","square","hình vuông","","","",""
"59508.394999895245","","html-slider-response","4","279774","0.0-4.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","","","","","small","nhỏ","bitter","đắng"
"21060.49000006169","","html-slider-response","5","300838","0.0-5.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","ugly","xấu","square","hình vuông","","","",""
"43821.02999999188","","html-slider-response","6","344663","0.0-6.0","","0","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","yellow","màu vàng","clean","sạch","","","","","","","",""
"21524.11500015296","","html-slider-response","7","366190","0.0-7.0","","6","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","yellow","màu vàng","plastic","nhựa","","","","","","","",""
"17340.97500005737","","html-slider-response","8","383535","0.0-8.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","","","","","tall","cao","small","nhỏ"
"14500.630000140518","","html-slider-response","9","398039","0.0-9.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","round","hình tròn","dirty","dơ","","","","","","","",""
"26132.28499982506","","html-slider-response","10","424174","0.0-10.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","small","nhỏ","square","hình vuông","","","",""
"13805.055000120774","","html-slider-response","11","437982","0.0-11.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","","","","","ugly","xấu","big","lớn"
"21509.29000019096","","html-slider-response","12","459494","0.0-12.0","","0","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","red","màu đỏ","clean","sạch","","","","","","","",""
"69092.60999993421","","html-slider-response","13","528590","0.0-13.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","yellow","màu vàng","clean","sạch","","","","","","","",""
"60309.15999994613","","html-slider-response","14","588902","0.0-14.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","","","","","","","","sweet","ngọt","ugly","xấu"
"15981.290000025183","","html-slider-response","15","604887","0.0-15.0","","6","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","yellow","màu vàng","wooden","gỗ","","","","","","","",""
"9916.955000022426","","html-slider-response","16","614807","0.0-16.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","","","","","big","lớn","tall","cao"
"36589.039999991655","","html-slider-response","17","651399","0.0-17.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","","","","","big","lớn","red","màu đỏ","","","",""
"12180.569999851286","","html-slider-response","18","663582","0.0-18.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","","","","","tall","cao","beautiful","đẹp"
"11678.085000021383","","html-slider-response","19","675264","0.0-19.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","","","","","short","thấp","wooden","gỗ","","","",""
"31083.96499999799","","html-slider-response","20","706351","0.0-20.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","","","","","small","nhỏ","tall","cao"
"9645.384999923408","","html-slider-response","21","715999","0.0-21.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","","","","","big","lớn","dirty","dơ","","","",""
"12148.294999962673","","html-slider-response","22","728150","0.0-22.0","","0","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","red","màu đỏ","dirty","dơ","","","","","","","",""
"27069.82499989681","","html-slider-response","23","755223","0.0-23.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","dirty","dơ","yellow","màu vàng","","","","","","","",""
"33340.560000156984","","html-slider-response","24","788567","0.0-24.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","ugly","xấu","square","hình vuông","","","",""
"55926.290000090376","","html-slider-response","25","844496","0.0-25.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","","","","","ugly","xấu","yellow","màu vàng","","","",""
"10028.420000104234","","html-slider-response","26","854527","0.0-26.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","","","","","tall","cao","wooden","gỗ","","","",""
"26924.33000006713","","html-slider-response","27","881455","0.0-27.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","beautiful","đẹp","square","hình vuông","","","",""
"20085.7650001999","","html-slider-response","28","901544","0.0-28.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","","","","","big","lớn","beautiful","đẹp"
"21804.11499994807","","html-slider-response","29","923351","0.0-29.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","","","","","bitter","đắng","ugly","xấu"
"29812.804999994114","","html-slider-response","30","953168","0.0-30.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","","","","","big","lớn","ugly","xấu"
"43419.87999994308","","html-slider-response","31","996591","0.0-31.0","","0","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","round","hình tròn","red","màu đỏ","","","","","","","",""
