"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","sub_type","viet_sub_type","int_type","viet_int_type"
"107909.10000004806","viet_consent_1.html","external-html","0","107971","0.0-0.0","","","","","","","","","","","","","","","","","",""
"60025.499999988824","","instructions","1","168003","0.0-1.0","[{""page_index"":0,""viewing_time"":7059.399999910966},{""page_index"":1,""viewing_time"":42185.499999905005},{""page_index"":2,""viewing_time"":10776.40000008978}]","","","","","","","","","","","","","","","","",""
"87277.89999986999","","html-slider-response","2","255293","0.0-2.0","","6","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","red","màu đỏ","plastic","nhựa","","","","","","","",""
"33706.29999996163","","html-slider-response","3","289007","0.0-3.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","beautiful","đẹp","small","nhỏ","","","",""
"24333.600000012666","","html-slider-response","4","313348","0.0-4.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","","","","","tall","cao","yellow","màu vàng"
"29321.8999998644","","html-slider-response","5","342678","0.0-5.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","small","nhỏ","short","thấp","","","",""
"21941.600000020117","","html-slider-response","6","364631","0.0-6.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","ugly","xấu","short","thấp","","","",""
"37421.00000008941","","html-slider-response","7","402059","0.0-7.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","","","","","","nhỏ","square","hình vuông"
"14922.199999913573","","html-slider-response","8","416992","0.0-8.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","ugly","xấu","big","lớn","","","",""
"20010.400000028312","","html-slider-response","9","437009","0.0-9.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","","","","","","lớn","dirty","dơ"
"19512.100000167266","","html-slider-response","10","456527","0.0-10.0","","6","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","red","màu đỏ","clean","sạch","","","","","","","",""
"15974.999999860302","","html-slider-response","11","472509","0.0-11.0","","6","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","red","màu đỏ","dirty","dơ","","","","","","","",""
"13892.400000011548","","html-slider-response","12","486409","0.0-12.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","big","lớn","tall","cao","","","",""
"23554.50000008568","","html-slider-response","13","509970","0.0-13.0","","6","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","yellow","màu vàng","dirty","dơ","","","","","","","",""
"18558.100000023842","","html-slider-response","14","528535","0.0-14.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","ugly","xấu","short","thấp","","","",""
"17218.399999896064","","html-slider-response","15","545759","0.0-15.0","","6","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","red","màu đỏ","round","hình tròn","","","","","","","",""
"15422.69999999553","","html-slider-response","16","561189","0.0-16.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","clean","sạch","yellow","màu vàng","","","","","","","",""
"15707.399999955669","","html-slider-response","17","576903","0.0-17.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","","","","","small","nhỏ","yellow","màu vàng"
"15526.799999875948","","html-slider-response","18","592437","0.0-18.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","ugly","xấu","big","lớn","","","",""
"11269.000000087544","","html-slider-response","19","603713","0.0-19.0","","6","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","clean","sạch","round","hình tròn","","","","","","","",""
"12005.10000018403","","html-slider-response","20","615726","0.0-20.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","","","","","small","nhỏ","yellow","màu vàng"
"16522.79999991879","","html-slider-response","21","632255","0.0-21.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","","","","","big","lớn","clean","sạch"
"9338.899999856949","","html-slider-response","22","641601","0.0-22.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","","","","","small","nhỏ","round","hình tròn"
