"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type","viet_sub_type","int_type","viet_int_type"
"10677","viet_consent_1.html","external-html","0","10729","0.0-0.0","","","","","","","","","","","","","","","","","",""
"10639","","instructions","1","21378","0.0-1.0","[{""page_index"":0,""viewing_time"":2652},{""page_index"":1,""viewing_time"":6163},{""page_index"":2,""viewing_time"":1819}]","","","","","","","","","","","","","","","","",""
"32450","","html-slider-response","2","53842","0.0-2.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","beautiful","đẹp","small","nhỏ","","","","","","","",""
"126342","","html-slider-response","3","180190","0.0-3.0","","3","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","nhỏ","ugly","xấu","","","","","","","",""
"57041","","html-slider-response","4","237247","0.0-4.0","","5","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","beautiful","đẹp","small","nhỏ","","","","","","","",""
"67946.99999999997","","html-slider-response","5","305198","0.0-5.0","","4","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","small","nhỏ","sweet","ngọt","","","","","","","",""
"54190","","html-slider-response","6","359391","0.0-6.0","","6","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","","","","","square","hình vuông","dirty","dơ","","","",""
"23960","","html-slider-response","7","383356","0.0-7.0","","5","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","dirty","dơ","square","hình vuông","","","",""
"45811","","html-slider-response","8","429171","0.0-8.0","","5","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","","","","","sweet","ngọt","red","màu đỏ"
"12964","","html-slider-response","9","442139","0.0-9.0","","6","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","square","sạch","red","màu đỏ","","","",""
"48947","","html-slider-response","10","491091","0.0-10.0","","3","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","","","","","ugly","xấu","clean","sạch"
"19131","","html-slider-response","11","510227","0.0-11.0","","5","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","clean","sạch","square","hình vuông","","","",""
"19478","","html-slider-response","12","529709","0.0-12.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","","","","","small","nhỏ","yellow","màu vàng"
"19265","","html-slider-response","13","548977","0.0-13.0","","3","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","big","lớn","beautiful","đẹp","","","","","","","",""
"27147","","html-slider-response","14","576128","0.0-14.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","small","nhỏ","sweet","ngọt","","","","","","","",""
"44195","","html-slider-response","15","620326","0.0-15.0","","4","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","","","","","beautiful","đẹp","dirty","dơ"
"17732","","html-slider-response","16","638062","0.0-16.0","","3","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","","","","","beautiful","đẹp","dirty","dơ"
"25313","","html-slider-response","17","663377","0.0-17.0","","4","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","yellow","màu vàng","round","hình tròn","","","",""
"16751","","html-slider-response","18","680139","0.0-18.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","small","nhỏ","beautiful","đẹp","","","","","","","",""
"10470","","html-slider-response","19","690612","0.0-19.0","","4","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","","","","","plastic","nhựa","round","hình tròn","","","",""
"37265","","html-slider-response","20","727880","0.0-20.0","","3","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","","","","","bitter","đắng","round","hình tròn"
"18880.999999999884","","html-slider-response","21","746764","0.0-21.0","","3","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","","","","","short","thấp","dirty","dơ"
"17065","","html-slider-response","22","763833","0.0-22.0","","3","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","dirty","dơ","red","màu đỏ","","","",""
"13345","","html-slider-response","23","777183","0.0-23.0","","5","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","","","","","wooden","gỗ","yellow","màu vàng","","","",""
"19877","","html-slider-response","24","797067","0.0-24.0","","3","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","round","hình tròn","yellow","màu vàng","","","",""
"12085","","html-slider-response","25","809165","0.0-25.0","","3","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","ugly","xấu","tall","cao","","","","","","","",""
"16063","","html-slider-response","26","825232","0.0-26.0","","5","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","","","","","tall","cao","red","màu đỏ"
"24566","","html-slider-response","27","849801","0.0-27.0","","3","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","","","","","beautiful","đẹp","dirty","dơ"
"11031","","html-slider-response","28","860837","0.0-28.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","","","","","short","thấp","red","màu đỏ"
"12347","","html-slider-response","29","873189","0.0-29.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","short","thấp","small","nhỏ","","","","","","","",""
"18545","","html-slider-response","30","891738","0.0-30.0","","3","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","","","","","round","hình tròn","yellow","màu vàng","","","",""
