"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","sub_type","viet_sub_type","int_type","viet_int_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2"
"3462","viet_consent_1.html","external-html","0","3468","0.0-0.0","","","","","","","","","","","","","","","","","",""
"22730","","instructions","1","26200","0.0-1.0","[{""page_index"":0,""viewing_time"":4175},{""page_index"":1,""viewing_time"":15027},{""page_index"":2,""viewing_time"":3527}]","","","","","","","","","","","","","","","","",""
"61679","","html-slider-response","2","87887","0.0-2.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","sweet","ngọt","big","lớn","","","","","","","",""
"32443","","html-slider-response","3","120336","0.0-3.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","beautiful","đẹp","dirty","dơ","","","",""
"37202","","html-slider-response","4","157542","0.0-4.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","small","nhỏ","clean","sạch","","","",""
"52540","","html-slider-response","5","210084","0.0-5.0","","6","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","","","","","red","màu đỏ","dirty","dơ"
"21412.00000000003","","html-slider-response","6","231499","0.0-6.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","","","","","bitter","đắng","round","hình tròn","","","",""
"21257","","html-slider-response","7","252760","0.0-7.0","","6","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","","","","","","","","","yellow","màu vàng","plastic","nhựa"
"19260","","html-slider-response","8","272024","0.0-8.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","","","","","plastic","nhựa","red","màu đỏ"
"28051.99999999994","","html-slider-response","9","300079","0.0-9.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","ugly","xấu","short","thấp","","","","","","","",""
