"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type","viet_sub_type","int_type","viet_int_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2"
"33977","viet_consent_1.html","external-html","0","34019","0.0-0.0","","","","","","","","","","","","","","","","","",""
"20025","","instructions","1","54053","0.0-1.0","[{""page_index"":0,""viewing_time"":2438},{""page_index"":1,""viewing_time"":13773},{""page_index"":2,""viewing_time"":3810}]","","","","","","","","","","","","","","","","",""
"26649.999999999993","","html-slider-response","2","80712","0.0-2.0","","1","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","beautiful","đẹp","dirty","dơ","","","","","","","",""
"19735","","html-slider-response","3","100453","0.0-3.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","sweet","ngọt","clean","sạch","","","","","","","",""
"11829.000000000015","","html-slider-response","4","112286","0.0-4.0","","6","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","red","màu đỏ","clean","sạch","","","",""
"8885.999999999985","","html-slider-response","5","121179","0.0-5.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","ugly","xấu","clean","sạch","","","","","","","",""
"12909.999999999985","","html-slider-response","6","134096","0.0-6.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","","","","","big","lớn","tall","cao"
"8755","","html-slider-response","7","142857","0.0-7.0","","0","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","clean","sạch","square","hình vuông","","","",""
"9616","","html-slider-response","8","152480","0.0-8.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","red","màu đỏ","square","hình vuông","","","",""
"6453","","html-slider-response","9","158938","0.0-9.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","ugly","xấu","clean","sạch","","","","","","","",""
"14851","","html-slider-response","10","173795","0.0-10.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","ugly","xấu","round","hình tròn","","","","","","","",""
"12172","","html-slider-response","11","185973","0.0-11.0","","0","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","yellow","màu vàng","clean","sạch","","","",""
"8245.00000000003","","html-slider-response","12","194223","0.0-12.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","","","","","small","nhỏ","beautiful","đẹp"
"11060.99999999997","","html-slider-response","13","205290","0.0-13.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","wooden","gỗ","clean","sạch","","","",""
"7428.999999999971","","html-slider-response","14","212724","0.0-14.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","","","","","small","nhỏ","short","thấp"
"8100","","html-slider-response","15","220835","0.0-15.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","small","nhỏ","clean","sạch","","","","","","","",""
"9041.00000000003","","html-slider-response","16","229884","0.0-16.0","","0","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","red","màu đỏ","square","hình vuông","","","",""
"7855","","html-slider-response","17","237745","0.0-17.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","","","","","bitter","đắng","beautiful","đẹp"
"8509","","html-slider-response","18","246259","0.0-18.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","","","","","small","nhỏ","ugly","xấu"
"8488","","html-slider-response","19","254752","0.0-19.0","","0","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","round","hình tròn","dirty","dơ","","","",""
"19769.99999999997","","html-slider-response","20","274528","0.0-20.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","","","","","tall","cao","beautiful","đẹp"
"7834","","html-slider-response","21","282368","0.0-21.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","small","nhỏ","clean","sạch","","","","","","","",""
"14705","","html-slider-response","22","297079","0.0-22.0","","6","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","","","","","dirty","dơ","red","màu đỏ","","","",""
"44108","","html-slider-response","23","341191","0.0-23.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","","","","","short","thấp","small","nhỏ"
