"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type","viet_sub_type","int_type","viet_int_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2"
"4962.100000004284","viet_consent_1.html","external-html","0","5052","0.0-0.0","","","","","","","","","","","","","","","","","",""
"19431.099999928847","","instructions","1","24488","0.0-1.0","[{""page_index"":0,""viewing_time"":3760.000000009313},{""page_index"":1,""viewing_time"":12903.199999942444},{""page_index"":2,""viewing_time"":2765.00000001397}]","","","","","","","","","","","","","","","","",""
"15853.600000031292","","html-slider-response","2","40351","0.0-2.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","dirty","dơ","yellow","màu vàng","","","","","","","",""
"12369.20000007376","","html-slider-response","3","52726","0.0-3.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","","lớn","round","hình tròn","","","",""
"14993.499999982305","","html-slider-response","4","67726","0.0-4.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","","","","","","","","ugly","xấu","","nhỏ"
"6313.300000037998","","html-slider-response","5","74044","0.0-5.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","","","","","small","nhỏ","tall","cao"
"7526.0000000707805","","html-slider-response","6","81577","0.0-6.0","","6","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","plastic","nhựa","red","màu đỏ","","","","","","","",""
"10434.999999939464","","html-slider-response","7","92019","0.0-7.0","","6","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","red","màu đỏ","wooden","gỗ","","","","","","","",""
"10584.900000016205","","html-slider-response","8","102610","0.0-8.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","","","","","big","lớn","red","màu đỏ","","","",""
"12874.699999927543","","html-slider-response","9","115491","0.0-9.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","big","lớn","square","hình vuông","","","",""
"11062.799999956042","","html-slider-response","10","126562","0.0-10.0","","0","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","plastic","nhựa","clean","sạch","","","","","","","",""
"16865.200000000186","","html-slider-response","11","143433","0.0-11.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","big","lớn","plastic","nhựa","","","",""
"5248.799999943003","","html-slider-response","12","148688","0.0-12.0","","5","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","","","","","bitter","đắng","big","lớn"
"11201.300000073388","","html-slider-response","13","159896","0.0-13.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","","","","","bitter","đắng","small","nhỏ"
"14244.900000048801","","html-slider-response","14","174149","0.0-14.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","","","","","sweet","ngọt","square","hình vuông","","","",""
"13381.099999998696","","html-slider-response","15","187537","0.0-15.0","","6","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","round","hình tròn","dirty","dơ","","","","","","","",""
"4908.999999985099","","html-slider-response","16","192452","0.0-16.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","ugly","xấu","red","màu đỏ","","","",""
"7014.10000002943","","html-slider-response","17","199473","0.0-17.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","","","","","ugly","xấu","small","nhỏ"
"9488.600000040606","","html-slider-response","18","208967","0.0-18.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","","","","","small","nhỏ","ugly","xấu"
"8290.999999968335","","html-slider-response","19","217264","0.0-19.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","","","","","tall","cao","big","lớn"
"8634.799999999814","","html-slider-response","20","225902","0.0-20.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","beautiful","đẹp","square","hình vuông","","","",""
"9687.199999927543","","html-slider-response","21","235594","0.0-21.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","","","","","small","nhỏ","beautiful","đẹp"
"10143.39999994263","","html-slider-response","22","245741","0.0-22.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","small","nhỏ","plastic","nhựa","","","",""
"8700.899999937974","","html-slider-response","23","254446","0.0-23.0","","1","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","","","","","big","lớn","ugly","xấu"
"9351.400000043213","","html-slider-response","24","263803","0.0-24.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","short","thấp","wooden","gỗ","","","",""
