"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type","viet_sub_type","int_type","viet_int_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2"
"13843","viet_consent_1.html","external-html","0","13887","0.0-0.0","","","","","","","","","","","","","","","","","",""
"14944.000000000002","","instructions","1","28836","0.0-1.0","[{""page_index"":0,""viewing_time"":4908.999999999998},{""page_index"":1,""viewing_time"":6153},{""page_index"":2,""viewing_time"":3880}]","","","","","","","","","","","","","","","","",""
"33362","","html-slider-response","2","62216","0.0-2.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","ugly","xấu","red","màu đỏ","","","","","","","",""
"27305","","html-slider-response","3","89522","0.0-3.0","","6","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","wooden","gỗ","red","màu đỏ","","","",""
"21048","","html-slider-response","4","110575","0.0-4.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","dirty","dơ","yellow","màu vàng","","","",""
"17928","","html-slider-response","5","128507","0.0-5.0","","0","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","nhỏ","square","hình vuông","","","","","","","",""
"14397.999999999985","","html-slider-response","6","142909","0.0-6.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","dirty","dơ","yellow","màu vàng","","","",""
"13280","","html-slider-response","7","156192","0.0-7.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","sweet","ngọt","yellow","màu vàng","","","","","","","",""
"16095","","html-slider-response","8","172292","0.0-8.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","","","","","short","thấp","beautiful","đẹp"
"33497","","html-slider-response","9","205794","0.0-9.0","","0","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","","","","","square","hình vuông","clean","sạch","","","",""
"12379.99999999997","","html-slider-response","10","218178","0.0-10.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","","","","","beautiful","đẹp","short","thấp"
"7347.000000000029","","html-slider-response","11","225530","0.0-11.0","","0","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","big","lớn","plastic","nhựa","","","","","","","",""
"13346","","html-slider-response","12","238880","0.0-12.0","","0","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","","","","","wooden","gỗ","red","màu đỏ","","","",""
"12346","","html-slider-response","13","251229","0.0-13.0","","0","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","dirty","dơ","yellow","màu vàng","","","",""
"11365","","html-slider-response","14","262598","0.0-14.0","","6","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","red","màu đỏ","square","hình vuông","","","",""
"8680.000000000058","","html-slider-response","15","271282","0.0-15.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","","","","","tall","cao","small","nhỏ"
"10278","","html-slider-response","16","281564","0.0-16.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","","","","","bitter","đắng","small","nhỏ"
"11799","","html-slider-response","17","293367","0.0-17.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","","","","","ugly","xấu","sweet","ngọt"
"18993.99999999994","","html-slider-response","18","312367","0.0-18.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","big","lớn","dirty","dơ","","","","","","","",""
"16956","","html-slider-response","19","329335","0.0-19.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","","","","","ugly","xấu","small","nhỏ"
"17247","","html-slider-response","20","346587","0.0-20.0","","6","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","dirty","dơ","square","hình vuông","","","",""
"9113","","html-slider-response","21","355703","0.0-21.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","","","","","small","nhỏ","bitter","đắng"
