"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","sub_type","viet_sub_type","int_type","viet_int_type"
"32777.05499999999","viet_consent_1.html","external-html","0","32822","0.0-0.0","","","","","","","","","","","","","","","","","",""
"28656.85000000002","","instructions","1","61481","0.0-1.0","[{""page_index"":0,""viewing_time"":4734.230000000025},{""page_index"":1,""viewing_time"":21042.624999999985},{""page_index"":2,""viewing_time"":2879.5499999999956}]","","","","","","","","","","","","","","","","",""
"34479.304999999986","","html-slider-response","2","95961","0.0-2.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","wooden","gỗ","square","hình vuông","","","","","","","",""
"57701.40000000001","","html-slider-response","3","153657","0.0-3.0","","3","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","ugly","xấu","big","lớn","","","",""
"36107.179999999964","","html-slider-response","4","189766","0.0-4.0","","3","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","dirty","dơ","yellow","màu vàng","","","","","","","",""
"30630.305000000022","","html-slider-response","5","220395","0.0-5.0","","3","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","tall","cao","ugly","xấu","","","",""
"19763.32500000001","","html-slider-response","6","240160","0.0-6.0","","3","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","clean","sạch","yellow","màu vàng","","","","","","","",""
"14996.539999999979","","html-slider-response","7","255158","0.0-7.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","","","","","beautiful","đẹp","plastic","nhựa"
"24247.079999999987","","html-slider-response","8","279415","0.0-8.0","","0","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","yellow","màu vàng","square","hình vuông","","","","","","","",""
"14934.554999999935","","html-slider-response","9","294350","0.0-9.0","","3","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","big","lớn","bitter","đắng","","","",""
"18006.205000000016","","html-slider-response","10","312358","0.0-10.0","","3","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","red","màu đỏ","clean","sạch","","","","","","","",""
"25344.67499999993","","html-slider-response","11","337705","0.0-11.0","","3","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","","","","","beautiful","đẹp","square","hình vuông"
"12695.024999999965","","html-slider-response","12","350402","0.0-12.0","","3","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","","","","","","","","","ugly","xấu","clean","sạch"
"12642.825000000012","","html-slider-response","13","363046","0.0-13.0","","3","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","","","","","nhỏ","bitter","đắng","","","",""
"11524.98000000004","","html-slider-response","14","374572","0.0-14.0","","3","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","dirty","dơ","yellow","màu vàng","","","","","","","",""
"10545.185000000056","","html-slider-response","15","385118","0.0-15.0","","3","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","","","","","short","thấp","wooden","gỗ"
"31911.790000000095","","html-slider-response","16","417031","0.0-16.0","","0","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","round","hình tròn","dirty","dơ","","","","","","","",""
"8835.655000000086","","html-slider-response","17","425868","0.0-17.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","beautiful","đẹp","big","lớn","","","",""
"9997.044999999984","","html-slider-response","18","435866","0.0-18.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","beautiful","đẹp","big","lớn","","","",""
"31198.284999999974","","html-slider-response","19","467066","0.0-19.0","","3","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","","","","","ugly","xấu","wooden","gỗ"
"14028.524999999965","","html-slider-response","20","481094","0.0-20.0","","6","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","square","hình vuông","yellow","màu vàng","","","","","","","",""
