"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type","viet_sub_type","int_type","viet_int_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2"
"474292.68","viet_consent_1.html","external-html","0","474360","0.0-0.0","","","","","","","","","","","","","","","","","",""
"7402.004999999946","","instructions","1","481763","0.0-1.0","[{""page_index"":0,""viewing_time"":2132.189999999944},{""page_index"":1,""viewing_time"":2909.380000000063},{""page_index"":2,""viewing_time"":2359.6549999999697}]","","","","","","","","","","","","","","","","",""
"99731.1000000001","","html-slider-response","2","581497","0.0-2.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","tall","cao","clean","sạch","","","","","","","",""
"51898.38500000001","","html-slider-response","3","633397","0.0-3.0","","1","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","","","","sweet","ngọt","","lớn","","","",""
"273797.44499999995","","html-slider-response","4","907183","0.0-4.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","ugly","xấu","tall","cao","","","",""
"99645.67499999993","","html-slider-response","5","1006835","0.0-5.0","","0","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","nhỏ","dirty","dơ","","","","","","","",""
"127535.50500000012","","html-slider-response","6","1134381","0.0-6.0","","6","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","","","","","","","","","round","hình tròn","plastic","nhựa"
"38390.65000000014","","html-slider-response","7","1172771","0.0-7.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","sweet","ngọt","dirty","dơ","","","","","","","",""
"49401.96999999974","","html-slider-response","8","1222175","0.0-8.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","big","lớn","dirty","dơ","","","","","","","",""
"87502.79000000004","","html-slider-response","9","1309680","0.0-9.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","beautiful","đẹp","square","hình vuông","","","","","","","",""
"47533.77000000002","","html-slider-response","10","1357201","0.0-10.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","big","lớn","beautiful","đẹp","","","",""
"25174.980000000214","","html-slider-response","11","1382377","0.0-11.0","","6","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","","","","","square","hình vuông","red","màu đỏ"
"14488.88500000001","","html-slider-response","12","1396882","0.0-12.0","","0","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","","","","","","","","","square","hình vuông","clean","sạch"
"13916.810000000056","","html-slider-response","13","1410799","0.0-13.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","big","lớn","sweet","ngọt","","","",""
"12964.76000000001","","html-slider-response","14","1423765","0.0-14.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","sweet","ngọt","red","màu đỏ","","","","","","","",""
"19912.094999999972","","html-slider-response","15","1443678","0.0-15.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","short","thấp","red","màu đỏ","","","","","","","",""
"22513.554999999935","","html-slider-response","16","1466192","0.0-16.0","","6","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","","","","","","","","","square","hình vuông","yellow","màu vàng"
"23341.180000000168","","html-slider-response","17","1489534","0.0-17.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","small","nhỏ","sweet","ngọt","","","",""
"16502.25500000012","","html-slider-response","18","1506037","0.0-18.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","ugly","xấu","bitter","đắng","","","",""
"9973.564999999944","","html-slider-response","19","1516012","0.0-19.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","ugly","xấu","tall","cao","","","",""
"11897.104999999981","","html-slider-response","20","1527910","0.0-20.0","","6","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","","","","","dirty","dơ","wooden","gỗ"
"8981.564999999944","","html-slider-response","21","1536893","0.0-21.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","beautiful","đẹp","big","lớn","","","",""
"8417.665000000037","","html-slider-response","22","1545311","0.0-22.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","ugly","xấu","dirty","dơ","","","","","","","",""
"20093.89500000002","","html-slider-response","23","1565406","0.0-23.0","","0","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","","","","","","","","","plastic","nhựa","round","hình tròn"
"11263.075000000186","","html-slider-response","24","1576671","0.0-24.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","short","thấp","ugly","xấu","","","",""
"8789.424999999814","","html-slider-response","25","1585455","0.0-25.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","ugly","xấu","big","lớn","","","",""
"31482.22999999998","","html-slider-response","26","1616938","0.0-26.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","small","nhỏ","yellow","màu vàng","","","","","","","",""
"10443.280000000028","","html-slider-response","27","1627382","0.0-27.0","","0","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","","","","","","","","","square","hình vuông","dirty","dơ"
"22977.679999999935","","html-slider-response","28","1650361","0.0-28.0","","0","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","","","","","yellow","màu vàng","dirty","dơ"
"69126.45000000019","","html-slider-response","29","1719484","0.0-29.0","","1","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","ugly","xấu","yellow","màu vàng","","","","","","","",""
"11325.194999999832","","html-slider-response","30","1730810","0.0-30.0","","5","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","","","","","","","","","square","hình vuông","wooden","gỗ"
