"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type","viet_sub_type","int_type","viet_int_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2"
"121103.53500000019","viet_consent_1.html","external-html","0","121157","0.0-0.0","","","","","","","","","","","","","","","","","",""
"17697.83499999903","","instructions","1","138856","0.0-1.0","[{""page_index"":0,""viewing_time"":3108.829999999216},{""page_index"":1,""viewing_time"":11561.965000000797},{""page_index"":2,""viewing_time"":3026.2249999995984}]","","","","","","","","","","","","","","","","",""
"59829.31999999893","","html-slider-response","2","198687","0.0-2.0","","3","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","round","hình tròn","clean","sạch","","","","","","","",""
"31486.35499999911","","html-slider-response","3","230175","0.0-3.0","","1","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","round","hình tròn","clean","sạch","","","","","","","",""
"20560.970000000438","","html-slider-response","4","250736","0.0-4.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","small","nhỏ","round","hình tròn","","","",""
"18072.575000000128","","html-slider-response","5","268810","0.0-5.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","","","","","beautiful","đẹp","red","màu đỏ","","","",""
"22688.645000000193","","html-slider-response","6","291500","0.0-6.0","","3","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","","","","","big","lớn","tall","cao"
"30435.165000000736","","html-slider-response","7","321937","0.0-7.0","","3","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","","","","","short","thấp","small","nhỏ"
"41767.02500000107","","html-slider-response","8","363705","0.0-8.0","","2","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","","","","","ugly","xấu","yellow","màu vàng","","","",""
"11476.09999999986","","html-slider-response","9","375182","0.0-9.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","ugly","xấu","wooden","gỗ","","","",""
"18581.49999999837","","html-slider-response","10","393765","0.0-10.0","","4","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","","","","","ugly","xấu","clean","hình vuông","","","",""
"12806.430000000517","","html-slider-response","11","406573","0.0-11.0","","0","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","yellow","màu vàng","dirty","dơ","","","","","","","",""
"10936.665000001085","","html-slider-response","12","417510","0.0-12.0","","3","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","dirty","dơ","yellow","màu vàng","","","","","","","",""
"14106.434999999707","","html-slider-response","13","431618","0.0-13.0","","0","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","red","màu đỏ","dirty","dơ","","","","","","","",""
"16533.255000000296","","html-slider-response","14","448152","0.0-14.0","","3","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","red","màu đỏ","dirty","dơ","","","","","","","",""
"46710.3299999999","","html-slider-response","15","494864","0.0-15.0","","3","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","red","màu đỏ","round","hình tròn","","","","","","","",""
"7610.654999998631","","html-slider-response","16","502475","0.0-16.0","","5","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","","","","","sweet","ngọt","big","lớn"
"14815.710000000778","","html-slider-response","17","517292","0.0-17.0","","6","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","red","màu đỏ","plastic","nhựa","","","","","","","",""
"5419.205000000133","","html-slider-response","18","522712","0.0-18.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","beautiful","đẹp","wooden","gỗ","","","",""
"11211.82000000053","","html-slider-response","19","533925","0.0-19.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","","","","","beautiful","đẹp","big","lớn"
