"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type","viet_sub_type","int_type","viet_int_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2"
"28152.645000023767","viet_consent_1.html","external-html","0","28460","0.0-0.0","","","","","","","","","","","","","","","","","",""
"32111.054999986663","","instructions","1","60574","0.0-1.0","[{""page_index"":0,""viewing_time"":9326.354999793693},{""page_index"":1,""viewing_time"":14224.200000055134},{""page_index"":2,""viewing_time"":8559.495000168681}]","","","","","","","","","","","","","","","","",""
"18268.255000002682","","html-slider-response","2","78848","0.0-2.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","beautiful","đẹp","plastic","nhựa","","","","","","","",""
"30866.4249998983","","html-slider-response","3","109718","0.0-3.0","","0","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","round","hình tròn","red","màu đỏ","","","",""
"18677.054999861866","","html-slider-response","4","128399","0.0-4.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","","","","","small","nhỏ","tall","cao"
"15836.789999855682","","html-slider-response","5","144239","0.0-5.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","tall","cao","square","hình vuông","","","","","","","",""
"17998.085000086576","","html-slider-response","6","162240","0.0-6.0","","6","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","yellow","màu vàng","dirty","hình tròn","","","",""
"13643.974999897182","","html-slider-response","7","175887","0.0-7.0","","6","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","","","","","clean","sạch","plastic","nhựa","","","",""
"12749.17500000447","","html-slider-response","8","188639","0.0-8.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","","","","","small","nhỏ","short","thấp"
"19701.2799999211","","html-slider-response","9","208343","0.0-9.0","","0","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","red","màu đỏ","dirty","dơ","","","",""
"20844.289999920875","","html-slider-response","10","229190","0.0-10.0","","0","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","","","","","","","","ugly","xấu","bitter","đắng"
"13293.405000120401","","html-slider-response","11","242487","0.0-11.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","square","hình vuông","clean","sạch","","","",""
"15212.975000031292","","html-slider-response","12","257703","0.0-12.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","beautiful","đẹp","dirty","dơ","","","","","","","",""
"11699.77999990806","","html-slider-response","13","269409","0.0-13.0","","0","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","tall","cao","red","màu đỏ","","","","","","","",""
"45163.73999998905","","html-slider-response","14","314575","0.0-14.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","","","","","beautiful","đẹp","tall","cao"
"12692.879999987781","","html-slider-response","15","327271","0.0-15.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","","","","","ugly","xấu","short","thấp"
"13916.770000010729","","html-slider-response","16","341191","0.0-16.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","clean","sạch","yellow","màu vàng","","","",""
"12077.240000013262","","html-slider-response","17","353271","0.0-17.0","","6","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","square","sạch","clean","hình vuông","","","",""
"12876.69500010088","","html-slider-response","18","366151","0.0-18.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","","","","","small","nhỏ","beautiful","đẹp"
"12349.694999866188","","html-slider-response","19","378504","0.0-19.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","beautiful","đẹp","dirty","dơ","","","","","","","",""
"10708.71499995701","","html-slider-response","20","389215","0.0-20.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","small","nhỏ","yellow","màu vàng","","","","","","","",""
"16900.855000130832","","html-slider-response","21","406119","0.0-21.0","","6","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","dirty","dơ","yellow","màu vàng","","","",""
"23685.185000067577","","html-slider-response","22","429807","0.0-22.0","","6","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","square","hình vuông","yellow","màu vàng","","","",""
"9533.775000134483","","html-slider-response","23","439344","0.0-23.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","small","nhỏ","yellow","màu vàng","","","","","","","",""
"11317.054999992251","","html-slider-response","24","450664","0.0-24.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","","","","","ugly","xấu","small","nhỏ"
"8964.459999930114","","html-slider-response","25","459631","0.0-25.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","small","nhỏ","clean","sạch","","","","","","","",""
"12717.154999962077","","html-slider-response","26","472352","0.0-26.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","nhỏ","square","hình vuông","","","","","","","",""
"11333.150000078604","","html-slider-response","27","483688","0.0-27.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","","","","","big","lớn","beautiful","đẹp"
"15877.3499999661","","html-slider-response","28","499567","0.0-28.0","","6","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","","","","","round","hình tròn","wooden","gỗ","","","",""
"11438.000000081956","","html-slider-response","29","511008","0.0-29.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","sweet","ngọt","dirty","dơ","","","","","","","",""
"12595.95499979332","","html-slider-response","30","523607","0.0-30.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","","","","","ugly","xấu","sweet","ngọt"
"15341.20999998413","","html-slider-response","31","538951","0.0-31.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","","","","","sweet","ngọt","ugly","xấu"
