"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","sub_type","viet_sub_type","int_type","viet_int_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2"
"7144.800000000032","viet_consent_1.html","external-html","0","8191","0.0-0.0","","","","","","","","","","","","","","","","","",""
"12559.699999999793","","instructions","1","20755","0.0-1.0","[{""page_index"":0,""viewing_time"":2764.900000000125},{""page_index"":1,""viewing_time"":7208.499999998821},{""page_index"":2,""viewing_time"":2583.3000000002357}]","","","","","","","","","","","","","","","","",""
"16725.59999999976","","html-slider-response","2","37488","0.0-2.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","beautiful","đẹp","big","lớn","","","","","","","",""
"15829.599999999118","","html-slider-response","3","53323","0.0-3.0","","0","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","ugly","xấu","","lớn","","","","","","","",""
"7909.499999999753","","html-slider-response","4","61237","0.0-4.0","","0","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","beautiful","đẹp","clean","sạch","","","",""
"12304.999999998472","","html-slider-response","5","73546","0.0-5.0","","0","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","","","","","round","hình tròn","red","màu đỏ"
"5163.099999999758","","html-slider-response","6","78714","0.0-6.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","small","nhỏ","round","hình tròn","","","",""
"5343.699999999444","","html-slider-response","7","84062","0.0-7.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","short","thấp","yellow","màu vàng","","","",""
"7928.299999999581","","html-slider-response","8","91994","0.0-8.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","beautiful","đẹp","sweet","ngọt","","","","","","","",""
"3864.1000000006898","","html-slider-response","9","95863","0.0-9.0","","6","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","","","","","square","sạch","wooden","gỗ"
"4993.099999999686","","html-slider-response","10","100860","0.0-10.0","","6","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","","","","","yellow","màu vàng","square","hình vuông"
