"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","sub_type","viet_sub_type","int_type","viet_int_type"
"69682.68500000704","viet_consent_1.html","external-html","0","70522","0.0-0.0","","","","","","","","","","","","","","","","","",""
"16741.159999975935","","instructions","1","87265","0.0-1.0","[{""page_index"":0,""viewing_time"":2732.7499999664724},{""page_index"":1,""viewing_time"":10304.080000030808},{""page_index"":2,""viewing_time"":3703.440000070259}]","","","","","","","","","","","","","","","","",""
"42577.395000029355","","html-slider-response","2","129845","0.0-2.0","","5","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","round","hình tròn","yellow","màu vàng","","","","","","","",""
"28982.195000047795","","html-slider-response","3","158828","0.0-3.0","","1","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","tall","cao","beautiful","đẹp","","","",""
"19050.579999922775","","html-slider-response","4","177881","0.0-4.0","","1","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","","","","","","","","","small","nhỏ","clean","hình vuông"
"18825.895000016317","","html-slider-response","5","196708","0.0-5.0","","1","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","","","","","ugly","xấu","square","hình vuông"
"29386.534999939613","","html-slider-response","6","226096","0.0-6.0","","1","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","","","","","small","nhỏ","round","hình tròn"
"19994.474999955855","","html-slider-response","7","246092","0.0-7.0","","5","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","ugly","xấu","sweet","ngọt","","","",""
"10539.394999970682","","html-slider-response","8","256633","0.0-8.0","","5","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","","","","","ugly","xấu","square","hình vuông"
"10222.835000022314","","html-slider-response","9","266857","0.0-9.0","","1","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","","","","","small","nhỏ","dirty","dơ"
"6722.285000025295","","html-slider-response","10","273580","0.0-10.0","","1","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","","","","","big","lớn","yellow","màu vàng"
"9711.060000001453","","html-slider-response","11","283293","0.0-11.0","","5","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","round","hình tròn","red","màu đỏ","","","","","","","",""
"7102.004999993369","","html-slider-response","12","290396","0.0-12.0","","5","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","ugly","xấu","small","nhỏ","","","",""
"8966.88500000164","","html-slider-response","13","299364","0.0-13.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","","","","","ugly","xấu","yellow","màu vàng"
"6786.960000055842","","html-slider-response","14","306152","0.0-14.0","","0","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","yellow","màu vàng","clean","sạch","","","","","","","",""
"7050.294999964535","","html-slider-response","15","313204","0.0-15.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","","","","","beautiful","đẹp","clean","sạch"
"7638.579999911599","","html-slider-response","16","320844","0.0-16.0","","0","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","wooden","gỗ","yellow","màu vàng","","","","","","","",""
"18355.059999972582","","html-slider-response","17","339201","0.0-17.0","","6","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","round","hình tròn","red","màu đỏ","","","","","","","",""
"7514.500000048429","","html-slider-response","18","346717","0.0-18.0","","0","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","wooden","gỗ","red","màu đỏ","","","","","","","",""
"7138.720000046305","","html-slider-response","19","353857","0.0-19.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","","","","","small","nhỏ","dirty","dơ"
"9110.440000076778","","html-slider-response","20","362969","0.0-20.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","","","","","big","lớn","wooden","gỗ"
