"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type","viet_sub_type","int_type","viet_int_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2"
"59751.699999993434","viet_consent_1.html","external-html","0","60201","0.0-0.0","","","","","","","","","","","","","","","","","",""
"51608.89999999199","","instructions","1","111817","0.0-1.0","[{""page_index"":0,""viewing_time"":2520.9999999788124},{""page_index"":1,""viewing_time"":21108.00000000745},{""page_index"":2,""viewing_time"":27976.20000000461}]","","","","","","","","","","","","","","","","",""
"71206.60000000498","","html-slider-response","2","183048","0.0-2.0","","6","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","round","hình tròn","dirty","dơ","","","","","","","",""
"17936.900000000605","","html-slider-response","3","200991","0.0-3.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","tall","cao","square","hình vuông","","","",""
"13827.699999994365","","html-slider-response","4","214827","0.0-4.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","","","","","beautiful","đẹp","yellow","màu vàng","","","",""
"23718.99999998277","","html-slider-response","5","238553","0.0-5.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","","","","","big","lớn","bitter","đắng"
"10252.500000002328","","html-slider-response","6","248813","0.0-6.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","beautiful","đẹp","round","hình tròn","","","",""
"13660.600000002887","","html-slider-response","7","262480","0.0-7.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","","","","","sweet","ngọt","clean","sạch","","","",""
"6175.700000021607","","html-slider-response","8","268663","0.0-8.0","","6","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","clean","sạch","wooden","gỗ","","","","","","","",""
"15114.600000000792","","html-slider-response","9","283784","0.0-9.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","clean","sạch","round","hình tròn","","","","","","","",""
"8031.199999997625","","html-slider-response","10","291821","0.0-10.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","","","","","short","thấp","wooden","gỗ","","","",""
"13415.100000012899","","html-slider-response","11","305242","0.0-11.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","","","","","big","lớn","beautiful","đẹp"
"6690.699999977369","","html-slider-response","12","311940","0.0-12.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","","","","","bitter","đắng","small","nhỏ"
"10519.999999989523","","html-slider-response","13","322467","0.0-13.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","tall","cao","yellow","màu vàng","","","",""
"15950.500000006286","","html-slider-response","14","338423","0.0-14.0","","6","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","clean","sạch","red","màu đỏ","","","","","","","",""
"9201.700000005076","","html-slider-response","15","347632","0.0-15.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","","","","","small","nhỏ","dirty","dơ","","","",""
"15247.000000003027","","html-slider-response","16","362885","0.0-16.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","","","","","ugly","xấu","big","lớn"
"12410.900000017136","","html-slider-response","17","375303","0.0-17.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","","","","","short","thấp","big","lớn"
"9128.399999986868","","html-slider-response","18","384438","0.0-18.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","","","","","small","nhỏ","sweet","ngọt"
"8069.799999997485","","html-slider-response","19","392514","0.0-19.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","","","","","small","nhỏ","square","hình vuông","","","",""
"12190.300000016578","","html-slider-response","20","404711","0.0-20.0","","6","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","square","hình vuông","yellow","màu vàng","","","","","","","",""
"10239.499999996042","","html-slider-response","21","414957","0.0-21.0","","5","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","round","hình tròn","plastic","nhựa","","","","","","","",""
"7091.300000000047","","html-slider-response","22","422056","0.0-22.0","","0","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","","","","","small","nhỏ","short","thấp"
"5937.800000014249","","html-slider-response","23","428000","0.0-23.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","","","","","beautiful","đẹp","small","nhỏ"
"7065.299999987474","","html-slider-response","24","435071","0.0-24.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","","","","","small","nhỏ","beautiful","đẹp"
"8431.700000015553","","html-slider-response","25","443509","0.0-25.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","wooden","gỗ","dirty","dơ","","","","","","","",""
"7495.900000008987","","html-slider-response","26","451011","0.0-26.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","","","","","ugly","xấu","small","nhỏ"
"10802.999999985332","","html-slider-response","27","461820","0.0-27.0","","6","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","dirty","dơ","round","hình tròn","","","","","","","",""
