"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type","viet_sub_type","int_type","viet_int_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2"
"5723","viet_consent_1.html","external-html","0","5802","0.0-0.0","","","","","","","","","","","","","","","","","",""
"15031.000000000004","","instructions","1","20839","0.0-1.0","[{""page_index"":0,""viewing_time"":3589.999999999999},{""page_index"":1,""viewing_time"":8278},{""page_index"":2,""viewing_time"":3160.0000000000036}]","","","","","","","","","","","","","","","","",""
"54508","","html-slider-response","2","75371","0.0-2.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","small","nhỏ","red","màu đỏ","","","","","","","",""
"17396.000000000015","","html-slider-response","3","92775","0.0-3.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","big","lớn","wooden","gỗ","","","","","","","",""
"31394","","html-slider-response","4","124174","0.0-4.0","","0","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","square","hình vuông","red","màu đỏ","","","",""
"14706","","html-slider-response","5","138883","0.0-5.0","","0","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","","","","","round","hình tròn","red","màu đỏ","","","",""
"18595","","html-slider-response","6","157484","0.0-6.0","","0","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","dirty","dơ","yellow","màu vàng","","","",""
"26594","","html-slider-response","7","184083","0.0-7.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","beautiful","đẹp","dirty","dơ","","","","","","","",""
"33448","","html-slider-response","8","217537","0.0-8.0","","6","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","","","","","yellow","màu vàng","plastic","nhựa","","","",""
"17444.99999999997","","html-slider-response","9","234991","0.0-9.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","","","","","bitter","đắng","ugly","xấu"
"93179.99999999997","","html-slider-response","10","328180","0.0-10.0","","0","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","yellow","màu vàng","square","sạch","","","",""
"49463","","html-slider-response","11","377663","0.0-11.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","dirty","dơ","yellow","màu vàng","","","",""
"14119","","html-slider-response","12","391784","0.0-12.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","tall","cao","yellow","màu vàng","","","","","","","",""
"24760","","html-slider-response","13","416552","0.0-13.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","yellow","màu vàng","dirty","dơ","","","",""
"32165","","html-slider-response","14","448725","0.0-14.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","","","","","beautiful","đẹp","sweet","ngọt"
"20429","","html-slider-response","15","469160","0.0-15.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","","","","","sweet","ngọt","beautiful","đẹp"
"15065","","html-slider-response","16","484233","0.0-16.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","sweet","ngọt","red","màu đỏ","","","","","","","",""
"46095.00000000006","","html-slider-response","17","530333","0.0-17.0","","0","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","","","","","small","nhỏ","beautiful","đẹp"
"14856","","html-slider-response","18","545195","0.0-18.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","","","","","short","thấp","big","lớn"
"13160","","html-slider-response","19","558357","0.0-19.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","","","","","beautiful","đẹp","big","lớn"
"6891.999999999884","","html-slider-response","20","565253","0.0-20.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","","","","","beautiful","đẹp","big","lớn"
"26044","","html-slider-response","21","591304","0.0-21.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","","","","","big","lớn","tall","cao"
"48203","","html-slider-response","22","639510","0.0-22.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","short","thấp","clean","sạch","","","","","","","",""
"27916","","html-slider-response","23","667431","0.0-23.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","tall","cao","yellow","màu vàng","","","","","","","",""
"14410.000000000116","","html-slider-response","24","681848","0.0-24.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","sweet","ngọt","round","hình tròn","","","","","","","",""
"22148","","html-slider-response","25","704002","0.0-25.0","","6","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","red","màu đỏ","plastic","nhựa","","","",""
"6446.000000000116","","html-slider-response","26","710453","0.0-26.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","beautiful","đẹp","round","hình tròn","","","","","","","",""
"21548","","html-slider-response","27","732005","0.0-27.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","ugly","xấu","red","màu đỏ","","","","","","","",""
"11644","","html-slider-response","28","743660","0.0-28.0","","6","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","clean","sạch","round","hình tròn","","","",""
"46503","","html-slider-response","29","790166","0.0-29.0","","0","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","wooden","gỗ","clean","sạch","","","",""
"14191.999999999884","","html-slider-response","30","804365","0.0-30.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","","","","","small","nhỏ","bitter","đắng"
"13928","","html-slider-response","31","818300","0.0-31.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","","","","","small","nhỏ","tall","cao"
