"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type","viet_sub_type","int_type","viet_int_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2"
"15000","viet_consent_1.html","external-html","0","15168","0.0-0.0","","","","","","","","","","","","","","","","","",""
"4221.799999999348","","instructions","1","19392","0.0-1.0","[{""page_index"":0,""viewing_time"":1552.2000000346452},{""page_index"":1,""viewing_time"":1336.3999999710359},{""page_index"":2,""viewing_time"":1332.8000000328757}]","","","","","","","","","","","","","","","","",""
"54571.80000003427","","html-slider-response","2","73966","0.0-2.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","tall","cao","dirty","dơ","","","","","","","",""
"33672.09999996703","","html-slider-response","3","107641","0.0-3.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","small","nhỏ","tall","cao","","","",""
"44824.80000000214","","html-slider-response","4","152467","0.0-4.0","","0","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","","","","","round","hình tròn","clean","sạch"
"21684.499999973923","","html-slider-response","5","174153","0.0-5.0","","0","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","","","","","yellow","màu vàng","square","hình vuông"
"58173.30000002403","","html-slider-response","6","232328","0.0-6.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","ugly","xấu","bitter","đắng","","","",""
"15294.80000003241","","html-slider-response","7","247624","0.0-7.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","short","thấp","small","nhỏ","","","",""
"28579.49999999255","","html-slider-response","8","276205","0.0-8.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","beautiful","đẹp","bitter","đắng","","","",""
"9742.399999988265","","html-slider-response","9","285949","0.0-9.0","","0","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","","","","","plastic","nhựa","square","hình vuông"
"11659.59999995539","","html-slider-response","10","297610","0.0-10.0","","6","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","","","","","","","","","clean","sạch","plastic","nhựa"
"12128.400000045076","","html-slider-response","11","309740","0.0-11.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","sweet","ngọt","big","lớn","","","",""
"19823.099999979604","","html-slider-response","12","329565","0.0-12.0","","6","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","","","","","round","hình tròn","red","màu đỏ"
"18357.00000001816","","html-slider-response","13","347923","0.0-13.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","beautiful","đẹp","tall","cao","","","",""
"10039.300000004005","","html-slider-response","14","357963","0.0-14.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","beautiful","đẹp","plastic","nhựa","","","","","","","",""
"12690.29999995837","","html-slider-response","15","370656","0.0-15.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","","","","","dirty","dơ","yellow","màu vàng"
"39340.10000003036","","html-slider-response","16","409997","0.0-16.0","","6","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","","","","","yellow","màu vàng","plastic","nhựa"
"18651.599999982864","","html-slider-response","17","428650","0.0-17.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","small","nhỏ","plastic","nhựa","","","","","","","",""
"13358.600000035949","","html-slider-response","18","442010","0.0-18.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","ugly","xấu","square","hình vuông","","","","","","","",""
"10038.399999961257","","html-slider-response","19","452050","0.0-19.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","big","lớn","beautiful","đẹp","","","",""
"11423.100000014529","","html-slider-response","20","463474","0.0-20.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","","","","","wooden","gỗ","dirty","dơ"
"11429.599999974016","","html-slider-response","21","474905","0.0-21.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","beautiful","đẹp","yellow","màu vàng","","","","","","","",""
"10781.099999963772","","html-slider-response","22","485689","0.0-22.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","sweet","ngọt","ugly","xấu","","","",""
"29034.89999996964","","html-slider-response","23","514725","0.0-23.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","small","nhỏ","dirty","dơ","","","","","","","",""
