"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type","viet_sub_type","int_type","viet_int_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2"
"138596.00000001956","viet_consent_1.html","external-html","0","139314","0.0-0.0","","","","","","","","","","","","","","","","","",""
"16393.29999999609","","instructions","1","155712","0.0-1.0","[{""page_index"":0,""viewing_time"":3588.6999999638647},{""page_index"":1,""viewing_time"":9650.700000114739},{""page_index"":2,""viewing_time"":3152.7999999234453}]","","","","","","","","","","","","","","","","",""
"58935.10000000242","","html-slider-response","2","214653","0.0-2.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","tall","cao","clean","sạch","","","","","","","",""
"17375.800000037998","","html-slider-response","3","232033","0.0-3.0","","0","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","dirty","dơ","yellow","màu vàng","","","",""
"12002.89999996312","","html-slider-response","4","244038","0.0-4.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","","","","","beautiful","đẹp","small","nhỏ"
"10951.20000001043","","html-slider-response","5","254991","0.0-5.0","","0","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","plastic","nhựa","yellow","màu vàng","","","",""
"12138.799999956973","","html-slider-response","6","267133","0.0-6.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","small","nhỏ","square","hình vuông","","","","","","","",""
"10258.000000030734","","html-slider-response","7","277394","0.0-7.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","small","nhỏ","clean","hình vuông","","","","","","","",""
"22296.500000054948","","html-slider-response","8","299693","0.0-8.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","","","","","beautiful","đẹp","bitter","đắng"
"21327.599999960512","","html-slider-response","9","321025","0.0-9.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","big","lớn","dirty","dơ","","","","","","","",""
