"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type","viet_sub_type","int_type","viet_int_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2"
"5077","viet_consent_1.html","external-html","0","5098","0.0-0.0","","","","","","","","","","","","","","","","","",""
"5591","","instructions","1","10691","0.0-1.0","[{""page_index"":0,""viewing_time"":2412},{""page_index"":1,""viewing_time"":1573},{""page_index"":2,""viewing_time"":1603}]","","","","","","","","","","","","","","","","",""
"26147","","html-slider-response","2","36850","0.0-2.0","","6","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","dirty","dơ","red","màu đỏ","","","","","","","",""
"140676","","html-slider-response","3","177529","0.0-3.0","","6","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","plastic","nhựa","red","màu đỏ","","","","","","","",""
"15177","","html-slider-response","4","192713","0.0-4.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","","","","","bitter","đắng","round","hình tròn","","","",""
"90414","","html-slider-response","5","283134","0.0-5.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","","","","","beautiful","đẹp","sweet","ngọt"
"51795.00000000006","","html-slider-response","6","334935","0.0-6.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","","","","","ugly","xấu","small","nhỏ"
"34102","","html-slider-response","7","369042","0.0-7.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","","","","","small","nhỏ","beautiful","đẹp"
"23433","","html-slider-response","8","392479","0.0-8.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","","","","","","","","ugly","xấu","","lớn"
"11542","","html-slider-response","9","404029","0.0-9.0","","6","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","round","hình tròn","red","màu đỏ","","","","","","","",""
"36529","","html-slider-response","10","440564","0.0-10.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","yellow","màu vàng","square","hình vuông","","","","","","","",""
"25407","","html-slider-response","11","465976","0.0-11.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","sweet","ngọt","yellow","màu vàng","","","",""
"18839","","html-slider-response","12","484818","0.0-12.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","","","","","big","lớn","beautiful","đẹp"
"14820.999999999942","","html-slider-response","13","499644","0.0-13.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","yellow","màu vàng","clean","sạch","","","","","","","",""
"38856","","html-slider-response","14","538504","0.0-14.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","","","","","tall","cao","big","lớn"
"13364.999999999884","","html-slider-response","15","551874","0.0-15.0","","6","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","round","hình tròn","dirty","dơ","","","","","","","",""
"18690.000000000116","","html-slider-response","16","570567","0.0-16.0","","6","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","plastic","nhựa","square","hình vuông","","","","","","","",""
"103292","","html-slider-response","17","673863","0.0-17.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","","","","","big","lớn","ugly","xấu"
"46418","","html-slider-response","18","720287","0.0-18.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","","lớn","clean","sạch","","","",""
"9655","","html-slider-response","19","729951","0.0-19.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","beautiful","đẹp","round","hình tròn","","","",""
"22112.999999999884","","html-slider-response","20","752069","0.0-20.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","bitter","đắng","dirty","dơ","","","",""
"16463","","html-slider-response","21","768536","0.0-21.0","","6","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","plastic","nhựa","red","màu đỏ","","","","","","","",""
"14453","","html-slider-response","22","782993","0.0-22.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","ugly","xấu","red","màu đỏ","","","",""
"14162","","html-slider-response","23","797159","0.0-23.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","","","","","bitter","đắng","clean","sạch","","","",""
"32361","","html-slider-response","24","829525","0.0-24.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","dirty","dơ","yellow","màu vàng","","","","","","","",""
"50047","","html-slider-response","25","879577","0.0-25.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","","","","","small","nhỏ","ugly","xấu"
"28741.999999999884","","html-slider-response","26","908324","0.0-26.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","tall","cao","round","hình tròn","","","",""
"16380","","html-slider-response","27","924707","0.0-27.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","","","","","small","nhỏ","red","màu đỏ","","","",""
"24339","","html-slider-response","28","949052","0.0-28.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","","","","","","","","ugly","xấu","bitter","đắng"
"28569","","html-slider-response","29","977625","0.0-29.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","","","","","big","lớn","wooden","gỗ","","","",""
"66539.00000000012","","html-slider-response","30","1044167","0.0-30.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","","","","","beautiful","đẹp","big","lớn"
"86286.00000000012","","html-slider-response","31","1130462","0.0-31.0","","0","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","wooden","gỗ","round","hình tròn","","","","","","","",""
