"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type","viet_sub_type","int_type","viet_int_type"
"11120","viet_consent_1.html","external-html","0","11177","0.0-0.0","","","","","","","","","","","","","","","","","",""
"16298","","instructions","1","27478","0.0-1.0","[{""page_index"":0,""viewing_time"":2914},{""page_index"":1,""viewing_time"":9135},{""page_index"":2,""viewing_time"":4248}]","","","","","","","","","","","","","","","","",""
"34009","","html-slider-response","2","61492","0.0-2.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","small","nhỏ","ugly","xấu","","","","","","","",""
"43364","","html-slider-response","3","104858","0.0-3.0","","6","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","yellow","màu vàng","round","hình tròn","","","",""
"7559","","html-slider-response","4","112418","0.0-4.0","","0","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","wooden","gỗ","round","dơ","","","",""
"38268","","html-slider-response","5","150690","0.0-5.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","bitter","đắng","beautiful","đẹp","","","","","","","",""
"11164","","html-slider-response","6","161857","0.0-6.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","small","nhỏ","bitter","đắng","","","","","","","",""
"8500","","html-slider-response","7","170361","0.0-7.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","","","","","big","lớn","dirty","dơ"
"6629","","html-slider-response","8","176993","0.0-8.0","","6","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","dirty","dơ","square","hình vuông","","","",""
"12895","","html-slider-response","9","189889","0.0-9.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","","","","","","","","","small","nhỏ","round","hình tròn"
"9981","","html-slider-response","10","199872","0.0-10.0","","0","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","yellow","màu vàng","dirty","dơ","","","",""
"7437","","html-slider-response","11","207312","0.0-11.0","","0","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","","","","","plastic","nhựa","square","hình vuông","","","",""
"7447","","html-slider-response","12","214760","0.0-12.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","","","","","small","nhỏ","square","hình vuông"
"9662","","html-slider-response","13","224423","0.0-13.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","","","","","ugly","xấu","square","hình vuông"
"5774","","html-slider-response","14","230200","0.0-14.0","","0","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","short","thấp","ugly","xấu","","","","","","","",""
"6046","","html-slider-response","15","236247","0.0-15.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","clean","sạch","red","màu đỏ","","","",""
"5231","","html-slider-response","16","241480","0.0-16.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","","","","","small","nhỏ","square","hình vuông"
"5614","","html-slider-response","17","247095","0.0-17.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","clean","sạch","yellow","màu vàng","","","",""
