"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type","viet_sub_type","int_type","viet_int_type"
"25882","viet_consent_1.html","external-html","0","25920","0.0-0.0","","","","","","","","","","","","","","","","","",""
"15453.999999999996","","instructions","1","41376","0.0-1.0","[{""page_index"":0,""viewing_time"":2495.9999999999964},{""page_index"":1,""viewing_time"":10044},{""page_index"":2,""viewing_time"":2912.0000000000073}]","","","","","","","","","","","","","","","","",""
"50265","","html-slider-response","2","91651","0.0-2.0","","5","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","short","thấp","small","nhỏ","","","","","","","",""
"12702","","html-slider-response","3","104358","0.0-3.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","wooden","gỗ","square","hình vuông","","","",""
"14866","","html-slider-response","4","119228","0.0-4.0","","4","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","","","","","small","nhỏ","clean","sạch"
"12669","","html-slider-response","5","131899","0.0-5.0","","0","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","plastic","nhựa","yellow","màu vàng","","","",""
"10903","","html-slider-response","6","142806","0.0-6.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","plastic","nhựa","yellow","màu vàng","","","",""
"7448","","html-slider-response","7","150256","0.0-7.0","","6","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","red","màu đỏ","dirty","dơ","","","",""
"8622","","html-slider-response","8","158882","0.0-8.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","ugly","xấu","small","nhỏ","","","","","","","",""
"6004","","html-slider-response","9","164892","0.0-9.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","","","","","beautiful","đẹp","clean","sạch"
"28761","","html-slider-response","10","193654","0.0-10.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","big","lớn","sweet","ngọt","","","","","","","",""
"14154","","html-slider-response","11","207802","0.0-11.0","","4","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","","","","","","","","","small","nhỏ","round","dơ"
"7664.000000000029","","html-slider-response","12","215466","0.0-12.0","","5","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","beautiful","đẹp","big","lớn","","","","","","","",""
