"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type","viet_sub_type","int_type","viet_int_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2"
"6596","viet_consent_1.html","external-html","0","6707","0.0-0.0","","","","","","","","","","","","","","","","","",""
"6459.000000000001","","instructions","1","13174","0.0-1.0","[{""page_index"":0,""viewing_time"":3028.999999999999},{""page_index"":1,""viewing_time"":2136},{""page_index"":2,""viewing_time"":1292}]","","","","","","","","","","","","","","","","",""
"17243","","html-slider-response","2","30440","0.0-2.0","","0","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","plastic","nhựa","square","hình vuông","","","","","","","",""
"15270","","html-slider-response","3","45729","0.0-3.0","","2","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","big","lớn","dirty","dơ","","","",""
"28721","","html-slider-response","4","74455","0.0-4.0","","6","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","red","màu đỏ","clean","sạch","","","","","","","",""
"21802.000000000015","","html-slider-response","5","96262","0.0-5.0","","5","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","","","","","tall","cao","big","lớn"
"12322","","html-slider-response","6","108588","0.0-6.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","ugly","xấu","yellow","màu vàng","","","",""
"9208","","html-slider-response","7","117800","0.0-7.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","","","","","beautiful","đẹp","small","nhỏ"
"10399.999999999985","","html-slider-response","8","128204","0.0-8.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","small","nhỏ","dirty","dơ","","","",""
"6517.000000000044","","html-slider-response","9","134727","0.0-9.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","big","lớn","yellow","màu vàng","","","",""
"9927","","html-slider-response","10","144657","0.0-10.0","","0","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","wooden","gỗ","dirty","dơ","","","","","","","",""
"9677","","html-slider-response","11","154337","0.0-11.0","","0","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","dirty","dơ","yellow","màu vàng","","","","","","","",""
"13702","","html-slider-response","12","168043","0.0-12.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","","","","","ugly","xấu","tall","cao"
"12957.00000000003","","html-slider-response","13","181006","0.0-13.0","","6","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","red","màu đỏ","wooden","gỗ","","","","","","","",""
"30788.00000000003","","html-slider-response","14","211797","0.0-14.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","","","","","sweet","ngọt","small","nhỏ"
"8614","","html-slider-response","15","220415","0.0-15.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","","","","","small","nhỏ","dirty","dơ","","","",""
"12661.00000000003","","html-slider-response","16","233083","0.0-16.0","","6","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","red","màu đỏ","clean","hình vuông","","","","","","","",""
"11568","","html-slider-response","17","244655","0.0-17.0","","0","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","beautiful","đẹp","yellow","màu vàng","","","",""
"29943","","html-slider-response","18","274602","0.0-18.0","","6","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","red","màu đỏ","dirty","dơ","","","","","","","",""
"13987","","html-slider-response","19","288594","0.0-19.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","","","","","tall","cao","wooden","gỗ","","","",""
"17211","","html-slider-response","20","305808","0.0-20.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","","","","","beautiful","đẹp","big","lớn"
"16431","","html-slider-response","21","322242","0.0-21.0","","6","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","square","hình vuông","dirty","dơ","","","","","","","",""
"7577","","html-slider-response","22","329823","0.0-22.0","","5","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","","","","","","","","beautiful","đẹp","","nhỏ"
"6766","","html-slider-response","23","336593","0.0-23.0","","5","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","small","nhỏ","round","hình tròn","","","",""
"13628","","html-slider-response","24","350229","0.0-24.0","","5","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","","","","","sweet","ngọt","beautiful","đẹp"
"7802","","html-slider-response","25","358039","0.0-25.0","","4","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","clean","sạch","wooden","gỗ","","","","","","","",""
"7688","","html-slider-response","26","365735","0.0-26.0","","4","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","","","","","bitter","đắng","clean","sạch","","","",""
"15861","","html-slider-response","27","381602","0.0-27.0","","1","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","","","","","ugly","xấu","bitter","đắng"
"15483.000000000058","","html-slider-response","28","397093","0.0-28.0","","1","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","red","màu đỏ","round","dơ","","","","","","","",""
"8509","","html-slider-response","29","405610","0.0-29.0","","1","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","","","","","","","","","nhỏ","ugly","xấu"
"25663","","html-slider-response","30","431282","0.0-30.0","","2","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","beautiful","đẹp","wooden","gỗ","","","",""
"6327","","html-slider-response","31","437616","0.0-31.0","","1","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","","","","","small","nhỏ","short","thấp"
