"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","sub_type","viet_sub_type","int_type","viet_int_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2"
"18982.284999918193","viet_consent_1.html","external-html","0","19199","0.0-0.0","","","","","","","","","","","","","","","","","",""
"15862.280000001192","","instructions","1","35065","0.0-1.0","[{""page_index"":0,""viewing_time"":3308.4500001277775},{""page_index"":1,""viewing_time"":9583.319999976084},{""page_index"":2,""viewing_time"":2968.5100000351667}]","","","","","","","","","","","","","","","","",""
"18475.835000164807","","html-slider-response","2","53546","0.0-2.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","beautiful","đẹp","small","nhỏ","","","","","","","",""
"11091.754999943078","","html-slider-response","3","64640","0.0-3.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","ugly","xấu","yellow","màu vàng","","","",""
"9989.56000013277","","html-slider-response","4","74632","0.0-4.0","","6","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","","","","","","","","","square","hình vuông","yellow","màu vàng"
"10069.940000073984","","html-slider-response","5","84704","0.0-5.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","","","","","ugly","xấu","wooden","gỗ","","","",""
"8711.63500007242","","html-slider-response","6","93418","0.0-6.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","","","","","red","màu đỏ","clean","sạch"
"11915.700000012293","","html-slider-response","7","105336","0.0-7.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","ugly","xấu","small","nhỏ","","","","","","","",""
"14941.785000031814","","html-slider-response","8","120280","0.0-8.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","","","","","red","màu đỏ","dirty","dơ"
"8893.665000097826","","html-slider-response","9","129176","0.0-9.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","small","nhỏ","bitter","đắng","","","","","","","",""
"9413.550000172108","","html-slider-response","10","138592","0.0-10.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","ugly","xấu","round","hình tròn","","","",""
"8389.644999988377","","html-slider-response","11","146984","0.0-11.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","short","thấp","beautiful","đẹp","","","","","","","",""
"6709.534999914467","","html-slider-response","12","153696","0.0-12.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","short","thấp","big","lớn","","","","","","","",""
"13615.460000000894","","html-slider-response","13","167314","0.0-13.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","","","","","red","màu đỏ","round","hình tròn"
