"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","sub_type","viet_sub_type","int_type","viet_int_type"
"193573.454999947","viet_consent_1.html","external-html","0","193736","0.0-0.0","","","","","","","","","","","","","","","","","",""
"8738.98000002373","","instructions","1","202477","0.0-1.0","[{""page_index"":0,""viewing_time"":5562.444999930449},{""page_index"":1,""viewing_time"":1863.9100000727922},{""page_index"":2,""viewing_time"":1311.9099999312311}]","","","","","","","","","","","","","","","","",""
"8645.950000034645","","html-slider-response","2","211125","0.0-2.0","","0","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","dirty","dơ","round","hình tròn","","","","","","","",""
"7094.385000062175","","html-slider-response","3","218221","0.0-3.0","","0","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","plastic","nhựa","yellow","màu vàng","","","","","","","",""
"9646.569999982603","","html-slider-response","4","227869","0.0-4.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","","","","ugly","xấu","","nhỏ","","","",""
"6437.679999973625","","html-slider-response","5","234309","0.0-5.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","","","","","beautiful","đẹp","wooden","gỗ"
"9710.725000011735","","html-slider-response","6","244020","0.0-6.0","","6","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","square","hình vuông","wooden","gỗ","","","","","","","",""
"8190.769999986514","","html-slider-response","7","252212","0.0-7.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","","","","","ugly","xấu","yellow","màu vàng"
"6407.3349999962375","","html-slider-response","8","258621","0.0-8.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","ugly","xấu","short","thấp","","","",""
"8774.169999989681","","html-slider-response","9","267396","0.0-9.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","","","","","bitter","đắng","yellow","màu vàng"
