"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","sub_type","viet_sub_type","int_type","viet_int_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2"
"21853","viet_consent_1.html","external-html","0","21876","0.0-0.0","","","","","","","","","","","","","","","","","",""
"9692","","instructions","1","31576","0.0-1.0","[{""page_index"":0,""viewing_time"":6549},{""page_index"":1,""viewing_time"":1548},{""page_index"":2,""viewing_time"":1592}]","","","","","","","","","","","","","","","","",""
"48109","","html-slider-response","2","79692","0.0-2.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","beautiful","đẹp","sweet","ngọt","","","","","","","",""
"12569","","html-slider-response","3","92267","0.0-3.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","ugly","xấu","clean","sạch","","","",""
"9579","","html-slider-response","4","101852","0.0-4.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","tall","cao","beautiful","đẹp","","","","","","","",""
"10403","","html-slider-response","5","112261","0.0-5.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","ugly","xấu","dirty","dơ","","","",""
"26587","","html-slider-response","6","138853","0.0-6.0","","6","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","","","","","clean","sạch","square","hình vuông"
"20113","","html-slider-response","7","158972","0.0-7.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","sweet","ngọt","dirty","dơ","","","",""
"10283","","html-slider-response","8","169264","0.0-8.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","beautiful","đẹp","short","thấp","","","","","","","",""
"19361.00000000003","","html-slider-response","9","188630","0.0-9.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","short","thấp","beautiful","đẹp","","","","","","","",""
"21595","","html-slider-response","10","210233","0.0-10.0","","0","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","bitter","đắng","ugly","xấu","","","","","","","",""
"16835","","html-slider-response","11","227073","0.0-11.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","small","nhỏ","bitter","đắng","","","","","","","",""
"8353","","html-slider-response","12","235433","0.0-12.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","tall","cao","beautiful","đẹp","","","","","","","",""
"14344","","html-slider-response","13","249784","0.0-13.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","beautiful","đẹp","yellow","màu vàng","","","",""
"39420","","html-slider-response","14","289211","0.0-14.0","","6","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","","","","","square","hình vuông","yellow","màu vàng"
"10311","","html-slider-response","15","299528","0.0-15.0","","0","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","","","","","dirty","dơ","yellow","màu vàng"
"16453","","html-slider-response","16","315988","0.0-16.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","small","nhỏ","short","thấp","","","","","","","",""
"7511","","html-slider-response","17","323504","0.0-17.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","beautiful","đẹp","tall","cao","","","","","","","",""
"8319","","html-slider-response","18","331829","0.0-18.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","","","","","small","nhỏ","plastic","nhựa","","","",""
"10380","","html-slider-response","19","342213","0.0-19.0","","0","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","","","","","wooden","gỗ","square","hình vuông"
"6383","","html-slider-response","20","348606","0.0-20.0","","0","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","","","","","clean","sạch","yellow","màu vàng"
"10500.999999999942","","html-slider-response","21","359114","0.0-21.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","bitter","đắng","yellow","màu vàng","","","",""
"18288","","html-slider-response","22","377407","0.0-22.0","","6","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","","","","","dirty","dơ","square","hình vuông"
"14202","","html-slider-response","23","391615","0.0-23.0","","0","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","","","","","","","","","square","hình vuông","dirty","dơ"
"10212","","html-slider-response","24","401833","0.0-24.0","","6","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","","","","","square","hình vuông","wooden","gỗ"
"7603","","html-slider-response","25","409442","0.0-25.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","beautiful","đẹp","big","lớn","","","","","","","",""
"15443","","html-slider-response","26","424892","0.0-26.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","","nhỏ","yellow","màu vàng","","","",""
"15462","","html-slider-response","27","440361","0.0-27.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","","","","","beautiful","đẹp","clean","sạch","","","",""
"8125.999999999942","","html-slider-response","28","448492","0.0-28.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","","","","","small","nhỏ","yellow","màu vàng","","","",""
"9113","","html-slider-response","29","457611","0.0-29.0","","0","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","","","","","","","","","red","màu đỏ","round","hình tròn"
"8134","","html-slider-response","30","465752","0.0-30.0","","0","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","","","","","","","","","wooden","gỗ","clean","sạch"
"26404","","html-slider-response","31","492162","0.0-31.0","","0","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","short","thấp","round","hình tròn","","","",""
