"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type","viet_sub_type","int_type","viet_int_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2"
"17426","viet_consent_1.html","external-html","0","17600","0.0-0.0","","","","","","","","","","","","","","","","","",""
"32221","","instructions","1","49826","0.0-1.0","[{""page_index"":0,""viewing_time"":11900},{""page_index"":1,""viewing_time"":13858},{""page_index"":2,""viewing_time"":6461.000000000007}]","","","","","","","","","","","","","","","","",""
"80821","","html-slider-response","2","130655","0.0-2.0","","4","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","beautiful","đẹp","dirty","dơ","","","","","","","",""
"46641","","html-slider-response","3","177301","0.0-3.0","","1","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","small","nhỏ","clean","sạch","","","","","","","",""
"22135","","html-slider-response","4","199439","0.0-4.0","","5","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","yellow","màu vàng","dirty","hình tròn","","","",""
"25983","","html-slider-response","5","225427","0.0-5.0","","2","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","","","","","small","nhỏ","tall","cao"
"25429","","html-slider-response","6","250860","0.0-6.0","","4","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","round","hình tròn","clean","sạch","","","",""
"22922","","html-slider-response","7","273785","0.0-7.0","","1","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","yellow","màu vàng","dirty","dơ","","","",""
"16064.000000000058","","html-slider-response","8","289854","0.0-8.0","","2","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","","","","","","","","","lớn","ugly","xấu"
"13560","","html-slider-response","9","303418","0.0-9.0","","2","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","","","","","","","","","lớn","ugly","xấu"
"13427","","html-slider-response","10","316851","0.0-10.0","","2","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","round","hình tròn","red","màu đỏ","","","",""
"8128.999999999942","","html-slider-response","11","324983","0.0-11.0","","2","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","bitter","đắng","clean","sạch","","","","","","","",""
"7363","","html-slider-response","12","332350","0.0-12.0","","2","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","round","hình tròn","yellow","màu vàng","","","",""
"25382.99999999994","","html-slider-response","13","357739","0.0-13.0","","4","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","ugly","xấu","clean","sạch","","","","","","","",""
"29032","","html-slider-response","14","386776","0.0-14.0","","2","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","bitter","đắng","dirty","dơ","","","","","","","",""
"10687.000000000058","","html-slider-response","15","397466","0.0-15.0","","4","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","beautiful","đẹp","red","màu đỏ","","","","","","","",""
"20881","","html-slider-response","16","418352","0.0-16.0","","4","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","","","","","red","màu đỏ","round","hình tròn","","","",""
"10017","","html-slider-response","17","428372","0.0-17.0","","2","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","","","","","small","nhỏ","beautiful","đẹp"
"17413.00000000006","","html-slider-response","18","445789","0.0-18.0","","4","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","dirty","dơ","yellow","màu vàng","","","",""
"12713","","html-slider-response","19","458506","0.0-19.0","","4","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","sweet","ngọt","yellow","màu vàng","","","","","","","",""
"7579","","html-slider-response","20","466091","0.0-20.0","","4","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","","","","","dirty","dơ","red","màu đỏ","","","",""
"13797","","html-slider-response","21","479891","0.0-21.0","","2","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","beautiful","đẹp","plastic","nhựa","","","","","","","",""
"16546.99999999994","","html-slider-response","22","496442","0.0-22.0","","4","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","ugly","xấu","round","hình tròn","","","","","","","",""
