"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type","viet_sub_type","int_type","viet_int_type"
"21196","viet_consent_1.html","external-html","0","21354","0.0-0.0","","","","","","","","","","","","","","","","","",""
"20884","","instructions","1","42240","0.0-1.0","[{""page_index"":0,""viewing_time"":2744},{""page_index"":1,""viewing_time"":15600},{""page_index"":2,""viewing_time"":2538}]","","","","","","","","","","","","","","","","",""
"25594","","html-slider-response","2","67885","0.0-2.0","","4","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","ugly","xấu","small","nhỏ","","","","","","","",""
"7850","","html-slider-response","3","75737","0.0-3.0","","4","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","yellow","màu vàng","dirty","dơ","","","",""
"10345","","html-slider-response","4","86085","0.0-4.0","","1","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","","","","","short","thấp","red","màu đỏ"
"6900","","html-slider-response","5","92987","0.0-5.0","","5","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","small","nhỏ","tall","cao","","","","","","","",""
"12976","","html-slider-response","6","105965","0.0-6.0","","4","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","","","","","beautiful","đẹp","square","hình vuông"
"7595","","html-slider-response","7","113562","0.0-7.0","","1","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","","","","","wooden","gỗ","round","hình tròn","","","",""
"6208.000000000015","","html-slider-response","8","119773","0.0-8.0","","5","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","sweet","ngọt","big","lớn","","","","","","","",""
"8847.000000000015","","html-slider-response","9","128621","0.0-9.0","","1","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","yellow","màu vàng","dirty","hình tròn","","","",""
"12701.00000000003","","html-slider-response","10","141324","0.0-10.0","","1","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","big","lớn","bitter","đắng","","","","","","","",""
"12893","","html-slider-response","11","154220","0.0-11.0","","1","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","","","","","","","","","bitter","đắng","dirty","dơ"
"20523","","html-slider-response","12","174745","0.0-12.0","","1","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","yellow","màu vàng","dirty","dơ","","","",""
