"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type","viet_sub_type","int_type","viet_int_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2"
"66268.19999999861","viet_consent_1.html","external-html","0","66344","0.0-0.0","","","","","","","","","","","","","","","","","",""
"35252.20000000081","","instructions","1","101599","0.0-1.0","[{""page_index"":0,""viewing_time"":15428.499999999985},{""page_index"":1,""viewing_time"":13437.900000000809},{""page_index"":2,""viewing_time"":6379.100000000108}]","","","","","","","","","","","","","","","","",""
"174624.8000000014","","html-slider-response","2","276230","0.0-2.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","lớn","square","hình vuông","","","","","","","",""
"20175.999999999476","","html-slider-response","3","296411","0.0-3.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","beautiful","đẹp","dirty","dơ","","","","","","","",""
"23668.999999999884","","html-slider-response","4","320084","0.0-4.0","","6","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","dirty","dơ","red","màu đỏ","","","",""
"29720.19999999972","","html-slider-response","5","349808","0.0-5.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","","","","","sweet","ngọt","small","nhỏ"
"8990.900000000664","","html-slider-response","6","358803","0.0-6.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","","","","","small","nhỏ","sweet","ngọt"
"13327.900000000256","","html-slider-response","7","372134","0.0-7.0","","0","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","","","","","clean","sạch","yellow","màu vàng","","","",""
"9547.500000000582","","html-slider-response","8","381684","0.0-8.0","","0","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","clean","sạch","yellow","màu vàng","","","",""
"17147.50000000093","","html-slider-response","9","398835","0.0-9.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","wooden","gỗ","yellow","màu vàng","","","",""
"14031.100000000093","","html-slider-response","10","412870","0.0-10.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","","","","","beautiful","đẹp","big","lớn"
"16097.69999999844","","html-slider-response","11","428972","0.0-11.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","dirty","dơ","yellow","màu vàng","","","",""
"14165.699999999604","","html-slider-response","12","443142","0.0-12.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","","","","","beautiful","đẹp","bitter","đắng"
"20771.20000000106","","html-slider-response","13","463917","0.0-13.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","beautiful","đẹp","yellow","màu vàng","","","","","","","",""
"8196.599999999336","","html-slider-response","14","472117","0.0-14.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","","","","","short","thấp","small","nhỏ"
"8295.500000000233","","html-slider-response","15","480417","0.0-15.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","tall","cao","wooden","gỗ","","","","","","","",""
"13001.39999999915","","html-slider-response","16","493421","0.0-16.0","","0","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","","","","","short","thấp","ugly","xấu"
"8773.199999999662","","html-slider-response","17","502197","0.0-17.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","short","thấp","round","dơ","","","","","","","",""
"17213.699999998382","","html-slider-response","18","519414","0.0-18.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","","","","","small","nhỏ","sweet","ngọt"
"23867.100000001315","","html-slider-response","19","543285","0.0-19.0","","0","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","clean","sạch","round","hình tròn","","","",""
"13912.300000000047","","html-slider-response","20","557201","0.0-20.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","bitter","đắng","square","hình vuông","","","","","","","",""
"8313.599999999395","","html-slider-response","21","565519","0.0-21.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","","","","","beautiful","đẹp","short","thấp"
"14667.900000000373","","html-slider-response","22","580191","0.0-22.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","","","","","sweet","ngọt","small","nhỏ"
"11692.800000000745","","html-slider-response","23","591888","0.0-23.0","","6","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","red","màu đỏ","clean","hình vuông","","","",""
"10046.700000000768","","html-slider-response","24","601939","0.0-24.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","ugly","xấu","square","hình vuông","","","","","","","",""
"10671.00000000035","","html-slider-response","25","612614","0.0-25.0","","6","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","square","hình vuông","wooden","gỗ","","","",""
"12911.399999998976","","html-slider-response","26","625529","0.0-26.0","","6","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","clean","sạch","yellow","màu vàng","","","",""
"15586.499999999418","","html-slider-response","27","641120","0.0-27.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","small","nhỏ","clean","sạch","","","","","","","",""
"5807.899999999674","","html-slider-response","28","646931","0.0-28.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","beautiful","đẹp","plastic","nhựa","","","","","","","",""
"6938.2000000005355","","html-slider-response","29","653874","0.0-29.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","big","lớn","dirty","dơ","","","","","","","",""
"13224.500000000233","","html-slider-response","30","667102","0.0-30.0","","0","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","yellow","màu vàng","clean","hình vuông","","","",""
"8011.800000000279","","html-slider-response","31","675118","0.0-31.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","","","","","ugly","xấu","tall","cao"
