"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type","viet_sub_type","int_type","viet_int_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2"
"29130","viet_consent_1.html","external-html","0","29205","0.0-0.0","","","","","","","","","","","","","","","","","",""
"47368","","instructions","1","76578","0.0-1.0","[{""page_index"":0,""viewing_time"":14328.000000000007},{""page_index"":1,""viewing_time"":25725.999999999993},{""page_index"":2,""viewing_time"":7311}]","","","","","","","","","","","","","","","","",""
"132027","","html-slider-response","2","208615","0.0-2.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","bitter","đắng","red","màu đỏ","","","","","","","",""
"60229.00000000003","","html-slider-response","3","268850","0.0-3.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","short","thấp","dirty","dơ","","","","","","","",""
"39412","","html-slider-response","4","308266","0.0-4.0","","6","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","plastic","nhựa","clean","hình vuông","","","",""
"21717.00000000006","","html-slider-response","5","329987","0.0-5.0","","0","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","plastic","nhựa","dirty","dơ","","","",""
"21222.00000000006","","html-slider-response","6","351212","0.0-6.0","","0","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","","","","","round","hình tròn","plastic","nhựa","","","",""
"16811","","html-slider-response","7","368028","0.0-7.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","","","","","small","nhỏ","ugly","xấu"
"47937.00000000006","","html-slider-response","8","415969","0.0-8.0","","0","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","square","hình vuông","yellow","màu vàng","","","",""
"14752","","html-slider-response","9","430725","0.0-9.0","","0","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","round","hình tròn","clean","sạch","","","",""
