"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type","viet_sub_type","int_type","viet_int_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2"
"748532.7250000555","viet_consent_1.html","external-html","0","748579","0.0-0.0","","","","","","","","","","","","","","","","","",""
"6182.564999908209","","instructions","1","754766","0.0-1.0","[{""page_index"":0,""viewing_time"":2502.1200000774115},{""page_index"":1,""viewing_time"":1399.7700000181794},{""page_index"":2,""viewing_time"":2279.829999897629}]","","","","","","","","","","","","","","","","",""
"24478.134999983013","","html-slider-response","2","779246","0.0-2.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","beautiful","đẹp","dirty","dơ","","","","","","","",""
"11509.970000013709","","html-slider-response","3","790757","0.0-3.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","short","thấp","ugly","xấu","","","",""
"10566.615000134334","","html-slider-response","4","801325","0.0-4.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","ugly","xấu","dirty","dơ","","","","","","","",""
"17190.69500011392","","html-slider-response","5","818517","0.0-5.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","big","lớn","yellow","màu vàng","","","","","","","",""
"7822.53500004299","","html-slider-response","6","826341","0.0-6.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","short","thấp","beautiful","đẹp","","","",""
"16326.690000016242","","html-slider-response","7","842669","0.0-7.0","","6","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","","","","","round","hình tròn","red","màu đỏ"
"17662.615000037476","","html-slider-response","8","860333","0.0-8.0","","0","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","","","","","","","","","round","hình tròn","clean","sạch"
"5998.765000142157","","html-slider-response","9","866333","0.0-9.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","tall","cao","wooden","gỗ","","","","","","","",""
"10942.75000016205","","html-slider-response","10","877277","0.0-10.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","ugly","xấu","bitter","đắng","","","",""
"7406.745000043884","","html-slider-response","11","884685","0.0-11.0","","6","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","","","","","round","dơ","clean","hình vuông"
"6734.739999985322","","html-slider-response","12","891421","0.0-12.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","beautiful","đẹp","red","màu đỏ","","","","","","","",""
"6142.800000030547","","html-slider-response","13","897565","0.0-13.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","ugly","xấu","wooden","gỗ","","","","","","","",""
"6886.519999941811","","html-slider-response","14","904452","0.0-14.0","","6","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","","","","","red","màu đỏ","wooden","gỗ"
