"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type","viet_sub_type","int_type","viet_int_type"
"10847","viet_consent_1.html","external-html","0","10894","0.0-0.0","","","","","","","","","","","","","","","","","",""
"5137.999999999998","","instructions","1","16035","0.0-1.0","[{""page_index"":0,""viewing_time"":1878},{""page_index"":1,""viewing_time"":1966.9999999999982},{""page_index"":2,""viewing_time"":1291}]","","","","","","","","","","","","","","","","",""
"9032","","html-slider-response","2","25072","0.0-2.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","bitter","đắng","small","nhỏ","","","","","","","",""
"7583","","html-slider-response","3","32659","0.0-3.0","","0","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","wooden","gỗ","dirty","dơ","","","",""
"7812","","html-slider-response","4","40477","0.0-4.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","short","thấp","small","nhỏ","","","","","","","",""
"5241","","html-slider-response","5","45720","0.0-5.0","","6","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","","","","","clean","sạch","round","hình tròn","","","",""
"6675","","html-slider-response","6","52397","0.0-6.0","","6","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","square","hình vuông","plastic","nhựa","","","",""
"5376","","html-slider-response","7","57775","0.0-7.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","","","","","","","","","ugly","xấu","plastic","nhựa"
"6983","","html-slider-response","8","64760","0.0-8.0","","0","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","round","hình tròn","clean","sạch","","","",""
"8296.999999999993","","html-slider-response","9","73060","0.0-9.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","big","lớn","ugly","xấu","","","","","","","",""
