"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","sub_type","viet_sub_type","int_type","viet_int_type"
"11631.23999999999","viet_consent_1.html","external-html","0","11983","0.0-0.0","","","","","","","","","","","","","","","","","",""
"5053.099999999973","","instructions","1","17040","0.0-1.0","[{""page_index"":0,""viewing_time"":2490.2399999999707},{""page_index"":1,""viewing_time"":1264.7800000000298},{""page_index"":2,""viewing_time"":1297.075000000008}]","","","","","","","","","","","","","","","","",""
"5856.26500000001","","html-slider-response","2","22899","0.0-2.0","","6","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","clean","sạch","red","màu đỏ","","","","","","","",""
"8543.360000000008","","html-slider-response","3","31444","0.0-3.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","sweet","ngọt","beautiful","đẹp","","","",""
"20230.765000000018","","html-slider-response","4","51678","0.0-4.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","big","lớn","beautiful","đẹp","","","",""
"4967.779999999999","","html-slider-response","5","56649","0.0-5.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","big","lớn","ugly","xấu","","","",""
"11655.065000000039","","html-slider-response","6","68306","0.0-6.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","tall","cao","beautiful","đẹp","","","",""
"6499.774999999994","","html-slider-response","7","74808","0.0-7.0","","6","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","clean","hình vuông","square","sạch","","","","","","","",""
"5543.925000000003","","html-slider-response","8","80354","0.0-8.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","","","","","","","","","ugly","xấu","square","hình vuông"
"10821.189999999944","","html-slider-response","9","91178","0.0-9.0","","0","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","square","hình vuông","dirty","dơ","","","","","","","",""
"4173.049999999988","","html-slider-response","10","95353","0.0-10.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","","","","","beautiful","đẹp","square","hình vuông"
"5842.254999999961","","html-slider-response","11","101198","0.0-11.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","wooden","gỗ","clean","sạch","","","","","","","",""
"8003.869999999952","","html-slider-response","12","109205","0.0-12.0","","0","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","small","nhỏ","tall","cao","","","",""
"10248.404999999999","","html-slider-response","13","119456","0.0-13.0","","0","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","dirty","dơ","yellow","màu vàng","","","","","","","",""
"6515.485000000015","","html-slider-response","14","125973","0.0-14.0","","6","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","dirty","hình tròn","yellow","màu vàng","","","","","","","",""
"14531.16999999997","","html-slider-response","15","140507","0.0-15.0","","0","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","small","nhỏ","beautiful","đẹp","","","",""
"6964.199999999953","","html-slider-response","16","147474","0.0-16.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","","","","","","","","","small","nhỏ","plastic","nhựa"
"161939.21999999994","","html-slider-response","17","309415","0.0-17.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","","","","","ugly","xấu","clean","sạch"
"11905.969999999914","","html-slider-response","18","321324","0.0-18.0","","0","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","small","nhỏ","short","thấp","","","",""
"4351.469999999972","","html-slider-response","19","325678","0.0-19.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","","","","","small","nhỏ","red","màu đỏ"
"5028.329999999958","","html-slider-response","20","330709","0.0-20.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","big","lớn","ugly","xấu","","","",""
"4299.835000000079","","html-slider-response","21","335011","0.0-21.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","","","","","big","lớn","yellow","màu vàng"
"5805.360000000102","","html-slider-response","22","340819","0.0-22.0","","0","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","dirty","dơ","round","hình tròn","","","","","","","",""
"6012.074999999953","","html-slider-response","23","346833","0.0-23.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","clean","sạch","square","hình vuông","","","","","","","",""
"6240.98000000004","","html-slider-response","24","353076","0.0-24.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","","","","","big","lớn","yellow","màu vàng"
"6698.905000000086","","html-slider-response","25","359777","0.0-25.0","","6","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","yellow","màu vàng","square","hình vuông","","","","","","","",""
"7453.959999999963","","html-slider-response","26","367233","0.0-26.0","","0","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","dirty","dơ","red","màu đỏ","","","","","","","",""
"7333.929999999993","","html-slider-response","27","374569","0.0-27.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","","","","","big","lớn","dirty","dơ"
"6921.289999999979","","html-slider-response","28","381493","0.0-28.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","","","","","beautiful","đẹp","yellow","màu vàng"
"7253.570000000065","","html-slider-response","29","388749","0.0-29.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","","","","beautiful","đẹp","","lớn","","","",""
