"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type","viet_sub_type","int_type","viet_int_type"
"8051","viet_consent_1.html","external-html","0","8181","0.0-0.0","","","","","","","","","","","","","","","","","",""
"5079","","instructions","1","13266","0.0-1.0","[{""page_index"":0,""viewing_time"":1593},{""page_index"":1,""viewing_time"":1731.0000000000018},{""page_index"":2,""viewing_time"":1751.9999999999982}]","","","","","","","","","","","","","","","","",""
"33565","","html-slider-response","2","46883","0.0-2.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","sweet","ngọt","big","lớn","","","","","","","",""
"24162","","html-slider-response","3","71084","0.0-3.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","sweet","ngọt","big","lớn","","","","","","","",""
"24513.000000000015","","html-slider-response","4","95603","0.0-4.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","yellow","màu vàng","square","hình vuông","","","",""
"22144.000000000015","","html-slider-response","5","117755","0.0-5.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","","","","","beautiful","đẹp","yellow","màu vàng"
"30825","","html-slider-response","6","148584","0.0-6.0","","0","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","lớn","beautiful","đẹp","","","","","","","",""
"20838","","html-slider-response","7","169429","0.0-7.0","","6","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","clean","sạch","wooden","gỗ","","","",""
"10442","","html-slider-response","8","179879","0.0-8.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","plastic","nhựa","round","hình tròn","","","",""
"15157","","html-slider-response","9","195044","0.0-9.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","","","","","ugly","xấu","square","hình vuông"
"43273","","html-slider-response","10","238343","0.0-10.0","","0","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","","","","","ugly","xấu","square","hình vuông"
"22554","","html-slider-response","11","260937","0.0-11.0","","0","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","yellow","màu vàng","clean","sạch","","","",""
"12863","","html-slider-response","12","273805","0.0-12.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","dirty","dơ","red","màu đỏ","","","",""
"16719","","html-slider-response","13","290537","0.0-13.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","beautiful","đẹp","small","nhỏ","","","","","","","",""
"10250.999999999942","","html-slider-response","14","300793","0.0-14.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","","","","","","","","","tall","cao","clean","sạch"
"9424","","html-slider-response","15","310227","0.0-15.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","","","","","big","lớn","clean","sạch"
"11441","","html-slider-response","16","321676","0.0-16.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","","","","","beautiful","đẹp","round","hình tròn"
"11924","","html-slider-response","17","333612","0.0-17.0","","6","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","square","hình vuông","red","màu đỏ","","","",""
"7029","","html-slider-response","18","340648","0.0-18.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","","","","","short","thấp","square","hình vuông"
"16876","","html-slider-response","19","357533","0.0-19.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","beautiful","đẹp","small","nhỏ","","","","","","","",""
"9040","","html-slider-response","20","366580","0.0-20.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","short","thấp","ugly","xấu","","","","","","","",""
"8564","","html-slider-response","21","375149","0.0-21.0","","0","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","red","màu đỏ","dirty","dơ","","","",""
"18134","","html-slider-response","22","393288","0.0-22.0","","0","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","","","","","small","nhỏ","red","màu đỏ"
"7803","","html-slider-response","23","401101","0.0-23.0","","0","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","wooden","gỗ","red","màu đỏ","","","",""
"11497","","html-slider-response","24","412604","0.0-24.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","short","thấp","beautiful","đẹp","","","","","","","",""
"12996.000000000058","","html-slider-response","25","425605","0.0-25.0","","0","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","round","hình tròn","red","màu đỏ","","","",""
"21204","","html-slider-response","26","446816","0.0-26.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","beautiful","đẹp","big","lớn","","","","","","","",""
"6632.999999999942","","html-slider-response","27","453457","0.0-27.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","","","","","","","","","ugly","xấu","clean","sạch"
"12480","","html-slider-response","28","465943","0.0-28.0","","0","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","wooden","gỗ","yellow","màu vàng","","","",""
"4959","","html-slider-response","29","470911","0.0-29.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","tall","cao","small","nhỏ","","","","","","","",""
"7912","","html-slider-response","30","478829","0.0-30.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","ugly","xấu","sweet","ngọt","","","","","","","",""
"11627.999999999942","","html-slider-response","31","490463","0.0-31.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","","","","","sweet","ngọt","clean","sạch"
