"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type","viet_sub_type","int_type","viet_int_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2"
"29344.845000014175","viet_consent_1.html","external-html","0","29405","0.0-0.0","","","","","","","","","","","","","","","","","",""
"14195.590000017546","","instructions","1","43602","0.0-1.0","[{""page_index"":0,""viewing_time"":3157.7999999863096},{""page_index"":1,""viewing_time"":6179.015000001527},{""page_index"":2,""viewing_time"":4857.8749999869615}]","","","","","","","","","","","","","","","","",""
"16451.95999997668","","html-slider-response","2","60057","0.0-2.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","sweet","ngọt","round","hình tròn","","","","","","","",""
"20713.584999961313","","html-slider-response","3","80772","0.0-3.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","bitter","đắng","clean","sạch","","","","","","","",""
"9755.474999954458","","html-slider-response","4","90529","0.0-4.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","ugly","xấu","bitter","đắng","","","",""
"9256.014999991748","","html-slider-response","5","99787","0.0-5.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","sweet","ngọt","yellow","màu vàng","","","","","","","",""
"8614.900000044145","","html-slider-response","6","108403","0.0-6.0","","6","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","","","","","round","hình tròn","plastic","nhựa"
"24383.090000017546","","html-slider-response","7","132787","0.0-7.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","beautiful","đẹp","dirty","dơ","","","","","","","",""
"8100.144999974873","","html-slider-response","8","140889","0.0-8.0","","0","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","tall","cao","beautiful","đẹp","","","",""
"7808.919999981299","","html-slider-response","9","148701","0.0-9.0","","0","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","","","","","clean","hình vuông","yellow","màu vàng"
"8873.840000014752","","html-slider-response","10","157576","0.0-10.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","","","","","yellow","màu vàng","clean","sạch"
"6934.670000046026","","html-slider-response","11","164513","0.0-11.0","","6","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","","","","","round","hình tròn","wooden","gỗ"
"9123.569999996107","","html-slider-response","12","173638","0.0-12.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","big","lớn","ugly","xấu","","","",""
"9217.460000014398","","html-slider-response","13","182857","0.0-13.0","","0","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","","","","","","","","","plastic","nhựa","square","hình vuông"
"7036.634999967646","","html-slider-response","14","189896","0.0-14.0","","6","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","","","","","yellow","màu vàng","round","hình tròn"
"10123.814999999013","","html-slider-response","15","200022","0.0-15.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","","","","sweet","ngọt","","lớn","","","",""
"13029.764999984764","","html-slider-response","16","213053","0.0-16.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","beautiful","đẹp","square","hình vuông","","","","","","","",""
"5679.349999991246","","html-slider-response","17","218734","0.0-17.0","","0","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","","","","","wooden","gỗ","dirty","hình tròn"
"6443.35499999579","","html-slider-response","18","225179","0.0-18.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","big","lớn","clean","sạch","","","","","","","",""
"4684.789999970235","","html-slider-response","19","229865","0.0-19.0","","0","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","small","nhỏ","square","hình vuông","","","","","","","",""
"10906.139999977313","","html-slider-response","20","240772","0.0-20.0","","0","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","","","","","square","hình vuông","yellow","màu vàng"
"12661.710000014864","","html-slider-response","21","253436","0.0-21.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","beautiful","đẹp","big","lớn","","","",""
"4757.614999951329","","html-slider-response","22","258194","0.0-22.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","beautiful","đẹp","clean","sạch","","","","","","","",""
"8397.20499998657","","html-slider-response","23","266593","0.0-23.0","","6","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","","","","","","","","","square","hình vuông","dirty","dơ"
