"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","sub_type_1","sub_type_2","sub_type","int_type","int_type_1","int_type_2"
"10672.684999997728","eng_consent_1.html","external-html","0","10829","0.0-0.0","","","","","","","","","","",""
"13955.39000001736","","instructions","1","24789","0.0-1.0","[{""page_index"":0,""viewing_time"":2263.1150000088383},{""page_index"":1,""viewing_time"":9397.114999999758},{""page_index"":2,""viewing_time"":2293.499999999767}]","","","","","","","","","",""
"29195.364999992307","","html-slider-response","2","53990","0.0-2.0","","6","<strong>Which description of ""car"" sounds more natural?</strong>","sub_sub_noun","car","ugly","tall","","","",""
"54866.21999999625","","html-slider-response","3","108859","0.0-3.0","","0","<strong>Which description of ""banana"" sounds more natural?</strong>","sub_int_noun","banana","","","sweet","yellow","",""
"11795.07999998168","","html-slider-response","4","120656","0.0-4.0","","0","<strong>Which description of ""car"" sounds more natural?</strong>","int_int_noun","car","","","","","dirty","square"
"39654.04500000295","","html-slider-response","5","160313","0.0-5.0","","4","<strong>Which description of ""car"" sounds more natural?</strong>","sub_sub_noun","car","beautiful","small","","","",""
"24759.00499999989","","html-slider-response","6","185074","0.0-6.0","","0","<strong>Which description of ""cup"" sounds more natural?</strong>","sub_int_noun","cup","","","big","plastic","",""
"8852.524999994785","","html-slider-response","7","193931","0.0-7.0","","6","<strong>Which description of ""banana"" sounds more natural?</strong>","sub_sub_noun","banana","sweet","small","","","",""
"7315.740000020014","","html-slider-response","8","201249","0.0-8.0","","6","<strong>Which description of ""pepper"" sounds more natural?</strong>","sub_int_noun","pepper","","","sweet","round","",""
"12502.444999990985","","html-slider-response","9","213756","0.0-9.0","","0","<strong>Which description of ""candy"" sounds more natural?</strong>","int_int_noun","candy","","","","","clean","round"
"9612.930000002962","","html-slider-response","10","223372","0.0-10.0","","0","<strong>Which description of ""pepper"" sounds more natural?</strong>","int_int_noun","pepper","","","","","round","red"
"19344.684999989113","","html-slider-response","11","242721","0.0-11.0","","6","<strong>Which description of ""cup"" sounds more natural?</strong>","int_int_noun","cup","","","","","wooden","clean"
"37270.82499998505","","html-slider-response","12","279994","0.0-12.0","","0","<strong>Which description of ""chair"" sounds more natural?</strong>","int_int_noun","chair","","","","","yellow","square"
"79194.66999999713","","html-slider-response","13","359192","0.0-13.0","","6","<strong>Which description of ""table"" sounds more natural?</strong>","sub_int_noun","table","","","beautiful","dirty","",""
"16781.25","","html-slider-response","14","375975","0.0-14.0","","0","<strong>Which description of ""sticky rice"" sounds more natural?</strong>","sub_int_noun","sticky rice","","","ugly","dirty","",""
"10884.384999983013","","html-slider-response","15","386862","0.0-15.0","","6","<strong>Which description of ""fan"" sounds more natural?</strong>","sub_sub_noun","fan","beautiful","big","","","",""
"14447.16999999946","","html-slider-response","16","401313","0.0-16.0","","0","<strong>Which description of ""mango"" sounds more natural?</strong>","sub_int_noun","mango","","","beautiful","square","",""
"13391.829999978654","","html-slider-response","17","414710","0.0-17.0","","6","<strong>Which description of ""sticky rice"" sounds more natural?</strong>","sub_int_noun","sticky rice","","","beautiful","yellow","",""
"75731.57000000356","","html-slider-response","18","490446","0.0-18.0","","6","<strong>Which description of ""banana"" sounds more natural?</strong>","int_int_noun","banana","","","","","yellow","clean"
"13819.824999984121","","html-slider-response","19","504268","0.0-19.0","","6","<strong>Which description of ""sticky rice"" sounds more natural?</strong>","sub_sub_noun","sticky rice","ugly","sweet","","","",""
"40707.90000000852","","html-slider-response","20","544980","0.0-20.0","","0","<strong>Which description of ""pepper"" sounds more natural?</strong>","sub_sub_noun","pepper","big","sweet","","","",""
"26843.835000006948","","html-slider-response","21","571826","0.0-21.0","","0","<strong>Which description of ""candy"" sounds more natural?</strong>","sub_sub_noun","candy","small","beautiful","","","",""
"99355.84500001278","","html-slider-response","22","671185","0.0-22.0","","6","<strong>Which description of ""sticky rice"" sounds more natural?</strong>","sub_sub_noun","sticky rice","ugly","bitter","","","",""
"19552.38000000827","","html-slider-response","23","690742","0.0-23.0","","6","<strong>Which description of ""car"" sounds more natural?</strong>","sub_sub_noun","car","beautiful","short","","","",""
"10207.494999980554","","html-slider-response","24","700952","0.0-24.0","","6","<strong>Which description of ""fan"" sounds more natural?</strong>","sub_int_noun","fan","","","beautiful","clean","",""
"8464.124999998603","","html-slider-response","25","709419","0.0-25.0","","6","<strong>Which description of ""cup"" sounds more natural?</strong>","int_int_noun","cup","","","","","plastic","red"
"53683.0750000081","","html-slider-response","26","763106","0.0-26.0","","0","<strong>Which description of ""car"" sounds more natural?</strong>","sub_int_noun","car","","","beautiful","dirty","",""
"9796.835000015562","","html-slider-response","27","772905","0.0-27.0","","0","<strong>Which description of ""fan"" sounds more natural?</strong>","int_int_noun","fan","","","","","yellow","plastic"
"67454.76500000223","","html-slider-response","28","840363","0.0-28.0","","0","<strong>Which description of ""cup"" sounds more natural?</strong>","int_int_noun","cup","","","","","red","wooden"
"41866.024999995716","","html-slider-response","29","882232","0.0-29.0","","6","<strong>Which description of ""sticky rice"" sounds more natural?</strong>","sub_sub_noun","sticky rice","beautiful","bitter","","","",""
"15070.035000011558","","html-slider-response","30","897307","0.0-30.0","","0","<strong>Which description of ""cup"" sounds more natural?</strong>","sub_int_noun","cup","","","short","yellow","",""
"20393.479999998817","","html-slider-response","31","917703","0.0-31.0","","0","<strong>Which description of ""fan"" sounds more natural?</strong>","int_int_noun","fan","","","","","yellow","square"
