"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type","viet_sub_type","int_type","viet_int_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2"
"8779.18499999214","viet_consent_1.html","external-html","0","8994","0.0-0.0","","","","","","","","","","","","","","","","","",""
"6106.619999991381","","instructions","1","15105","0.0-1.0","[{""page_index"":0,""viewing_time"":1748.844999994617},{""page_index"":1,""viewing_time"":2644.654999996419},{""page_index"":2,""viewing_time"":1710.85000000312}]","","","","","","","","","","","","","","","","",""
"34645.54500000668","","html-slider-response","2","49757","0.0-2.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","lớn","dirty","dơ","","","","","","","",""
"12191.194999992149","","html-slider-response","3","61952","0.0-3.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","beautiful","đẹp","bitter","đắng","","","",""
"11890.20999999775","","html-slider-response","4","73845","0.0-4.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","small","nhỏ","bitter","đắng","","","",""
"61802.10499999521","","html-slider-response","5","135650","0.0-5.0","","0","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","","","","","","","","","red","màu đỏ","square","hình vuông"
"7216.359999991255","","html-slider-response","6","142870","0.0-6.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","beautiful","đẹp","tall","cao","","","",""
"5564.175000006799","","html-slider-response","7","148438","0.0-7.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","sweet","ngọt","dirty","dơ","","","","","","","",""
"55855.42000000714","","html-slider-response","8","204297","0.0-8.0","","3","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","","","","","","","","","red","màu đỏ","square","hình vuông"
"9800.51000000094","","html-slider-response","9","214101","0.0-9.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","ugly","xấu","wooden","gỗ","","","","","","","",""
"6026.400000002468","","html-slider-response","10","220131","0.0-10.0","","6","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","","","","","red","màu đỏ","plastic","nhựa"
"7590.364999996382","","html-slider-response","11","227724","0.0-11.0","","0","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","","","","","red","màu đỏ","round","hình tròn"
"6893.290000007255","","html-slider-response","12","234621","0.0-12.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","beautiful","đẹp","big","lớn","","","",""
"8041.769999996177","","html-slider-response","13","242666","0.0-13.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","bitter","đắng","red","màu đỏ","","","","","","","",""
"6099.344999995083","","html-slider-response","14","248769","0.0-14.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","beautiful","đẹp","yellow","màu vàng","","","","","","","",""
"24063.429999994696","","html-slider-response","15","272835","0.0-15.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","ugly","xấu","dirty","dơ","","","","","","","",""
"44893.720000007306","","html-slider-response","16","317732","0.0-16.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","big","lớn","bitter","đắng","","","",""
"114997.32500000391","","html-slider-response","17","432734","0.0-17.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","","","","","yellow","màu vàng","round","hình tròn"
"5300.439999991795","","html-slider-response","18","438037","0.0-18.0","","0","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","","","","","wooden","gỗ","clean","sạch"
"4465.264999991632","","html-slider-response","19","442506","0.0-19.0","","6","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","","","","","square","sạch","wooden","gỗ"
"9721.015000002808","","html-slider-response","20","452230","0.0-20.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","","","","","red","màu đỏ","square","hình vuông"
"5007.149999990361","","html-slider-response","21","457240","0.0-21.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","","","","","clean","sạch","red","màu đỏ"
"7957.429999994929","","html-slider-response","22","465201","0.0-22.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","bitter","đắng","red","màu đỏ","","","","","","","",""
"5124.404999995022","","html-slider-response","23","470328","0.0-23.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","big","lớn","ugly","xấu","","","",""
"5167.9000000003725","","html-slider-response","24","475499","0.0-24.0","","0","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","","","","","","","","","plastic","nhựa","yellow","màu vàng"
"4308.5900000005495","","html-slider-response","25","479811","0.0-25.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","big","lớn","clean","sạch","","","","","","","",""
"9084.419999999227","","html-slider-response","26","488899","0.0-26.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","small","nhỏ","round","hình tròn","","","","","","","",""
"7843.550000005052","","html-slider-response","27","496746","0.0-27.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","short","thấp","small","nhỏ","","","",""
"4619.169999990845","","html-slider-response","28","501368","0.0-28.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","small","nhỏ","beautiful","đẹp","","","",""
"4177.6150000077905","","html-slider-response","29","505549","0.0-29.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","big","lớn","round","hình tròn","","","","","","","",""
"5950.549999994109","","html-slider-response","30","511503","0.0-30.0","","0","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","big","lớn","tall","cao","","","",""
"4508.290000012494","","html-slider-response","31","516015","0.0-31.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","short","thấp","ugly","xấu","","","",""
