"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","sub_type","viet_sub_type","int_type","viet_int_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2"
"7988","viet_consent_1.html","external-html","0","8257","0.0-0.0","","","","","","","","","","","","","","","","","",""
"23170","","instructions","1","31434","0.0-1.0","[{""page_index"":0,""viewing_time"":2362},{""page_index"":1,""viewing_time"":19320},{""page_index"":2,""viewing_time"":1482}]","","","","","","","","","","","","","","","","",""
"23798.000000000007","","html-slider-response","2","55248","0.0-2.0","","5","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","tall","cao","big","lớn","","","","","","","",""
"17659","","html-slider-response","3","72916","0.0-3.0","","1","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","ugly","xấu","round","hình tròn","","","",""
"24463","","html-slider-response","4","97382","0.0-4.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","","","","","round","hình tròn","yellow","màu vàng"
"15779","","html-slider-response","5","113166","0.0-5.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","ugly","xấu","round","hình tròn","","","",""
"8715","","html-slider-response","6","121884","0.0-6.0","","0","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","","","","","","","","","wooden","gỗ","dirty","dơ"
"7677","","html-slider-response","7","129566","0.0-7.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","bitter","đắng","small","nhỏ","","","","","","","",""
"12128","","html-slider-response","8","141700","0.0-8.0","","5","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","beautiful","đẹp","tall","cao","","","","","","","",""
"18646","","html-slider-response","9","160350","0.0-9.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","small","nhỏ","tall","cao","","","","","","","",""
"9431","","html-slider-response","10","169785","0.0-10.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","short","thấp","beautiful","đẹp","","","","","","","",""
"10628.99999999997","","html-slider-response","11","180418","0.0-11.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","","","","","dirty","dơ","yellow","màu vàng"
"19681","","html-slider-response","12","200103","0.0-12.0","","0","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","","","","","red","màu đỏ","square","hình vuông"
"9646","","html-slider-response","13","209752","0.0-13.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","","","","","beautiful","đẹp","wooden","gỗ","","","",""
