"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","sub_type","viet_sub_type","int_type","viet_int_type"
"2579.4650000007096","viet_consent_1.html","external-html","0","2590","0.0-0.0","","","","","","","","","","","","","","","","","",""
"2364.3449999999575","","instructions","1","4955","0.0-1.0","[{""page_index"":0,""viewing_time"":773.220000000947},{""page_index"":1,""viewing_time"":1001.3500000004569},{""page_index"":2,""viewing_time"":589.5199999995384}]","","","","","","","","","","","","","","","","",""
"10334.82499999991","","html-slider-response","2","15291","0.0-2.0","","4","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","square","sạch","yellow","màu vàng","","","","","","","",""
"3281.345000001238","","html-slider-response","3","18574","0.0-3.0","","2","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","short","thấp","big","lớn","","","",""
"40043.84500000015","","html-slider-response","4","58619","0.0-4.0","","5","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","small","nhỏ","sweet","ngọt","","","",""
"1330.5849999997008","","html-slider-response","5","59950","0.0-5.0","","1","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","","","","","bitter","đắng","round","hình tròn"
"1178.2599999987724","","html-slider-response","6","61130","0.0-6.0","","4","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","tall","cao","small","nhỏ","","","",""
"2074.514999998428","","html-slider-response","7","63206","0.0-7.0","","2","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","","","","","beautiful","đẹp","square","hình vuông"
"1281.7999999988388","","html-slider-response","8","64489","0.0-8.0","","5","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","","","","","beautiful","đẹp","yellow","màu vàng"
"1226.5000000006694","","html-slider-response","9","65717","0.0-9.0","","2","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","big","lớn","beautiful","đẹp","","","",""
"1734.4200000006822","","html-slider-response","10","67453","0.0-10.0","","4","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","","","","","beautiful","đẹp","yellow","màu vàng"
"1621.7799999994895","","html-slider-response","11","69076","0.0-11.0","","1","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","ugly","xấu","tall","cao","","","",""
"2372.5650000014866","","html-slider-response","12","71450","0.0-12.0","","5","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","","","","","beautiful","đẹp","clean","sạch"
"2942.254999999932","","html-slider-response","13","74393","0.0-13.0","","2","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","plastic","nhựa","yellow","màu vàng","","","","","","","",""
"1403.664999999819","","html-slider-response","14","75798","0.0-14.0","","4","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","yellow","màu vàng","wooden","gỗ","","","","","","","",""
"1836.3599999993312","","html-slider-response","15","77636","0.0-15.0","","2","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","dirty","dơ","square","hình vuông","","","","","","","",""
"1500.6049999992683","","html-slider-response","16","79137","0.0-16.0","","5","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","","","","","small","nhỏ","clean","sạch"
"1299.2000000012922","","html-slider-response","17","80438","0.0-17.0","","2","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","plastic","nhựa","clean","sạch","","","","","","","",""
"1322.6350000004459","","html-slider-response","18","81762","0.0-18.0","","4","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","","","","","","","","","small","nhỏ","round","dơ"
"2074.1649999999936","","html-slider-response","19","83837","0.0-19.0","","2","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","","","","","sweet","ngọt","dirty","dơ"
"1500.9450000015931","","html-slider-response","20","85340","0.0-20.0","","4","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","big","lớn","beautiful","đẹp","","","",""
"1750.6149999990157","","html-slider-response","21","87092","0.0-21.0","","2","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","beautiful","đẹp","tall","cao","","","",""
"2179.324999999153","","html-slider-response","22","89272","0.0-22.0","","4","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","red","màu đỏ","square","hình vuông","","","","","","","",""
"2017.729999999574","","html-slider-response","23","91291","0.0-23.0","","2","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","yellow","màu vàng","square","hình vuông","","","","","","","",""
"1726.9950000008976","","html-slider-response","24","93019","0.0-24.0","","4","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","big","lớn","tall","cao","","","",""
"1880.4799999998068","","html-slider-response","25","94901","0.0-25.0","","2","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","clean","sạch","red","màu đỏ","","","","","","","",""
"1614.1649999990477","","html-slider-response","26","96516","0.0-26.0","","4","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","short","thấp","ugly","xấu","","","",""
"1884.715000000142","","html-slider-response","27","98402","0.0-27.0","","2","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","","","","","sweet","ngọt","dirty","dơ"
"1508.1700000009732","","html-slider-response","28","99912","0.0-28.0","","5","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","","","","","","nhỏ","round","hình tròn"
"2098.3550000000832","","html-slider-response","29","102011","0.0-29.0","","2","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","sweet","ngọt","ugly","xấu","","","",""
"2272.0600000011473","","html-slider-response","30","104285","0.0-30.0","","5","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","dirty","dơ","red","màu đỏ","","","","","","","",""
"3358.2249999999476","","html-slider-response","31","107644","0.0-31.0","","1","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","red","màu đỏ","square","hình vuông","","","","","","","",""
