"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","sub_type","viet_sub_type","int_type","viet_int_type"
"31840.355000000003","viet_consent_1.html","external-html","0","31909","0.0-0.0","","","","","","","","","","","","","","","","","",""
"31845.840000000007","","instructions","1","63756","0.0-1.0","[{""page_index"":0,""viewing_time"":9910.895000000008},{""page_index"":1,""viewing_time"":18217.059999999976},{""page_index"":2,""viewing_time"":3717.470000000023}]","","","","","","","","","","","","","","","","",""
"262290.60500000004","","html-slider-response","2","326050","0.0-2.0","","0","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","square","hình vuông","red","màu đỏ","","","","","","","",""
"17721.37499999994","","html-slider-response","3","343772","0.0-3.0","","3","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","","","","","ugly","xấu","short","thấp","","","",""
"27844.579999999958","","html-slider-response","4","371618","0.0-4.0","","4","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","dirty","dơ","red","màu đỏ","","","","","","","",""
"10113.070000000007","","html-slider-response","5","381732","0.0-5.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","short","thấp","beautiful","đẹp","","","",""
"14962.679999999993","","html-slider-response","6","396696","0.0-6.0","","0","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","round","hình tròn","red","màu đỏ","","","","","","","",""
"7801.594999999972","","html-slider-response","7","404499","0.0-7.0","","0","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","plastic","nhựa","red","màu đỏ","","","","","","","",""
"6859.755000000063","","html-slider-response","8","411360","0.0-8.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","bitter","đắng","big","lớn","","","",""
"9741.560000000056","","html-slider-response","9","421102","0.0-9.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","","","","","","","","","beautiful","đẹp","clean","sạch"
"7083.655000000028","","html-slider-response","10","428187","0.0-10.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","big","lớn","ugly","xấu","","","",""
