"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type","viet_sub_type","int_type","viet_int_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2"
"375373.7699999474","viet_consent_1.html","external-html","0","375449","0.0-0.0","","","","","","","","","","","","","","","","","",""
"53037.675000028685","","instructions","1","428488","0.0-1.0","[{""page_index"":0,""viewing_time"":6613.050000043586},{""page_index"":1,""viewing_time"":40397.80499995686},{""page_index"":2,""viewing_time"":6025.9150001220405}]","","","","","","","","","","","","","","","","",""
"41393.95499997772","","html-slider-response","2","469893","0.0-2.0","","0","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","plastic","nhựa","square","hình vuông","","","","","","","",""
"23887.97500007786","","html-slider-response","3","493783","0.0-3.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","dirty","dơ","yellow","màu vàng","","","","","","","",""
"35190.72499987669","","html-slider-response","4","528963","0.0-4.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","beautiful","đẹp","round","hình tròn","","","",""
"67746.560000116","","html-slider-response","5","596723","0.0-5.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","","","","","bitter","đắng","yellow","màu vàng","","","",""
"52216.55000001192","","html-slider-response","6","648941","0.0-6.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","","lớn","clean","sạch","","","",""
"50230.25000002235","","html-slider-response","7","699173","0.0-7.0","","0","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","red","màu đỏ","dirty","dơ","","","","","","","",""
"30450.635000132024","","html-slider-response","8","729626","0.0-8.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","clean","sạch","yellow","màu vàng","","","","","","","",""
"18140.549999894574","","html-slider-response","9","747768","0.0-9.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","","","","","small","nhỏ","beautiful","đẹp"
