"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","sub_type","viet_sub_type","int_type","viet_int_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2"
"7197.600000014063","viet_consent_1.html","external-html","0","7747","0.0-0.0","","","","","","","","","","","","","","","","","",""
"9065.699999977369","","instructions","1","16818","0.0-1.0","[{""page_index"":0,""viewing_time"":2518.8999999663793},{""page_index"":1,""viewing_time"":3510.000000009313},{""page_index"":2,""viewing_time"":3033.3000000100583}]","","","","","","","","","","","","","","","","",""
"26602.200000023004","","html-slider-response","2","43429","0.0-2.0","","1","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","short","thấp","ugly","xấu","","","","","","","",""
"9339.30000005057","","html-slider-response","3","52774","0.0-3.0","","1","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","beautiful","đẹp","round","hình tròn","","","",""
"9238.899999996647","","html-slider-response","4","62019","0.0-4.0","","5","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","ugly","xấu","tall","cao","","","","","","","",""
"18865.800000028685","","html-slider-response","5","80889","0.0-5.0","","1","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","","","","","clean","sạch","yellow","màu vàng"
"5924.100000003818","","html-slider-response","6","86818","0.0-6.0","","5","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","beautiful","đẹp","bitter","đắng","","","","","","","",""
"5847.100000013597","","html-slider-response","7","92671","0.0-7.0","","5","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","","","","","square","sạch","wooden","gỗ"
"8045.70000001695","","html-slider-response","8","100721","0.0-8.0","","1","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","","","","","wooden","gỗ","square","sạch"
"8820.499999972526","","html-slider-response","9","109547","0.0-9.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","","","","","small","nhỏ","red","màu đỏ","","","",""
"7371.400000003632","","html-slider-response","10","116923","0.0-10.0","","0","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","","","","","clean","sạch","yellow","màu vàng"
"5563.1000000284985","","html-slider-response","11","122491","0.0-11.0","","5","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","","","","","big","lớn","plastic","nhựa","","","",""
"8430.899999977555","","html-slider-response","12","130927","0.0-12.0","","5","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","sweet","ngọt","yellow","màu vàng","","","",""
"6194.499999983236","","html-slider-response","13","137126","0.0-13.0","","0","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","","","","","square","hình vuông","dirty","dơ"
"6676.999999966938","","html-slider-response","14","143807","0.0-14.0","","1","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","","","","","tall","cao","plastic","nhựa","","","",""
"4923.400000028778","","html-slider-response","15","148735","0.0-15.0","","0","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","","","","","red","màu đỏ","dirty","dơ"
"7511.699999973644","","html-slider-response","16","156251","0.0-16.0","","5","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","small","nhỏ","red","màu đỏ","","","",""
"8652.400000020862","","html-slider-response","17","164909","0.0-17.0","","5","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","bitter","đắng","dirty","dơ","","","",""
"9391.4999999688","","html-slider-response","18","174305","0.0-18.0","","6","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","","","","","red","màu đỏ","round","hình tròn"
"6500.6000000284985","","html-slider-response","19","180811","0.0-19.0","","1","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","big","lớn","ugly","xấu","","","","","","","",""
"7051.800000015646","","html-slider-response","20","187869","0.0-20.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","","","","","big","lớn","yellow","màu vàng","","","",""
"8727.899999998044","","html-slider-response","21","196602","0.0-21.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","ugly","xấu","small","nhỏ","","","","","","","",""
"4569.300000031944","","html-slider-response","22","201175","0.0-22.0","","0","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","","","","","red","màu đỏ","dirty","dơ"
"6632.7999999630265","","html-slider-response","23","207812","0.0-23.0","","1","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","short","thấp","small","nhỏ","","","","","","","",""
"5068.099999974947","","html-slider-response","24","212885","0.0-24.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","short","thấp","clean","sạch","","","",""
