"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","sub_type","viet_sub_type","int_type","viet_int_type"
"15695.000000000004","viet_consent_1.html","external-html","0","15848","0.0-0.0","","","","","","","","","","","","","","","","","",""
"7229","","instructions","1","23083","0.0-1.0","[{""page_index"":0,""viewing_time"":3273},{""page_index"":1,""viewing_time"":2034},{""page_index"":2,""viewing_time"":1899.0000000000036}]","","","","","","","","","","","","","","","","",""
"7886.000000000004","","html-slider-response","2","30994","0.0-2.0","","0","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","wooden","gỗ","dirty","dơ","","","","","","","",""
"16647","","html-slider-response","3","47646","0.0-3.0","","6","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","yellow","màu vàng","round","hình tròn","","","","","","","",""
"13767","","html-slider-response","4","61414","0.0-4.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","sweet","ngọt","big","lớn","","","",""
"18839.000000000015","","html-slider-response","5","80271","0.0-5.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","ugly","xấu","big","lớn","","","",""
"19891","","html-slider-response","6","100178","0.0-6.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","","","","","big","lớn","clean","sạch"
"19286","","html-slider-response","7","119473","0.0-7.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","clean","sạch","yellow","màu vàng","","","","","","","",""
"7300.000000000015","","html-slider-response","8","126791","0.0-8.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","beautiful","đẹp","big","lớn","","","",""
"10526.999999999985","","html-slider-response","9","137343","0.0-9.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","","","","","","","","","ugly","xấu","red","màu đỏ"
