"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type","viet_sub_type","int_type","viet_int_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2"
"52036.3","viet_consent_1.html","external-html","0","52203","0.0-0.0","","","","","","","","","","","","","","","","","",""
"23421.4","","instructions","1","75627","0.0-1.0","[{""page_index"":0,""viewing_time"":3853.4000000000014},{""page_index"":1,""viewing_time"":14789.699999999997},{""page_index"":2,""viewing_time"":4777.899999999994}]","","","","","","","","","","","","","","","","",""
"113170.50000000001","","html-slider-response","2","188801","0.0-2.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","clean","sạch","yellow","màu vàng","","","","","","","",""
"39127.399999999994","","html-slider-response","3","227931","0.0-3.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","","","","","beautiful","đẹp","dirty","dơ","","","",""
"12545.399999999994","","html-slider-response","4","240479","0.0-4.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","","","","","beautiful","đẹp","plastic","nhựa","","","",""
"13955.800000000017","","html-slider-response","5","254437","0.0-5.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","","","","","beautiful","đẹp","big","lớn"
"15439.799999999988","","html-slider-response","6","269878","0.0-6.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","","","","","short","thấp","big","lớn"
"15917.900000000023","","html-slider-response","7","285799","0.0-7.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","beautiful","đẹp","clean","sạch","","","",""
"13015.599999999976","","html-slider-response","8","298817","0.0-8.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","dirty","dơ","yellow","màu vàng","","","","","","","",""
"29742","","html-slider-response","9","328561","0.0-9.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","","","","","beautiful","đẹp","bitter","đắng"
"8269.900000000023","","html-slider-response","10","336833","0.0-10.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","","","","","short","thấp","small","nhỏ"
"12895.700000000011","","html-slider-response","11","349730","0.0-11.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","tall","cao","red","màu đỏ","","","",""
"14589.799999999988","","html-slider-response","12","364322","0.0-12.0","","0","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","clean","hình vuông","square","sạch","","","","","","","",""
"23299.79999999999","","html-slider-response","13","387625","0.0-13.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","","","","","bitter","đắng","ugly","xấu"
"40976","","html-slider-response","14","428603","0.0-14.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","small","nhỏ","square","hình vuông","","","",""
"6635.899999999965","","html-slider-response","15","435241","0.0-15.0","","6","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","dirty","dơ","plastic","nhựa","","","","","","","",""
"43663.70000000001","","html-slider-response","16","478907","0.0-16.0","","0","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","","","","","","","","","lớn","bitter","đắng"
"8811.200000000011","","html-slider-response","17","487721","0.0-17.0","","6","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","red","màu đỏ","square","hình vuông","","","","","","","",""
"12682.200000000011","","html-slider-response","18","500405","0.0-18.0","","0","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","yellow","màu vàng","clean","sạch","","","","","","","",""
"20204.79999999999","","html-slider-response","19","520613","0.0-19.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","beautiful","đẹp","yellow","màu vàng","","","",""
"14647.900000000023","","html-slider-response","20","535263","0.0-20.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","red","màu đỏ","square","hình vuông","","","","","","","",""
"16990","","html-slider-response","21","552255","0.0-21.0","","6","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","round","hình tròn","yellow","màu vàng","","","","","","","",""
"11152","","html-slider-response","22","563408","0.0-22.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","","","","","","","","","big","lớn","sweet","ngọt"
"22688","","html-slider-response","23","586099","0.0-23.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","","","","","","","","sweet","ngọt","","nhỏ"
"10473.699999999953","","html-slider-response","24","596575","0.0-24.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","","","","","","","","","ugly","xấu","tall","cao"
"25521.599999999976","","html-slider-response","25","622101","0.0-25.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","bitter","đắng","dirty","dơ","","","",""
"8667.900000000023","","html-slider-response","26","630771","0.0-26.0","","6","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","clean","sạch","red","màu đỏ","","","","","","","",""
"10862.099999999976","","html-slider-response","27","641635","0.0-27.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","","","","","beautiful","đẹp","big","lớn"
"9726","","html-slider-response","28","651363","0.0-28.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","","","","","beautiful","đẹp","yellow","màu vàng","","","",""
"20050","","html-slider-response","29","671414","0.0-29.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","","lớn","round","hình tròn","","","",""
"8273.900000000023","","html-slider-response","30","679691","0.0-30.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","","","","","small","nhỏ","yellow","màu vàng","","","",""
"10393.699999999953","","html-slider-response","31","690087","0.0-31.0","","0","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","round","hình tròn","clean","sạch","","","","","","","",""
